created_at,handle,mined_at,retweet_count,text,tweet_id
Fri Apr 26 12:47:27 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147729,71,Joseph Stiglitz: Elizabeth Warren &amp; #BernieSanders Want to Make the Economy Work for All Americans https://t.co/48SGDhhRzd,1121757681646231559
Thu Apr 25 15:00:45 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147746,345,There are two sets of principles. They are the principles of power and privilege and the principles of truth and ju… https://t.co/LLcSSHFI8W,1121428840407023616
Wed Apr 24 12:15:34 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147750,129,"The dominant #propaganda systems have appropriated the term ""globalization"" to refer to the specific version of int… https://t.co/Zxw5vVG5c7",1121024884434448384
Wed Apr 24 12:14:56 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147753,150,"Globalization is the result of powerful governments, especially that of the United States, pushing trade deals and… https://t.co/5yR2QrCJXr",1121024723771625472
Sun Apr 21 17:50:18 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147757,155,"#Chomsky: By Focusing on Russia, Democrats Handed Trump a “Huge Gift” &amp; Possibly the 2020 Election https://t.co/TG9ZIomTpi",1120021959096578048
Tue Apr 16 12:59:36 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147761,52,"RT @DiEM_25: A must listen!

@yanisvaroufakis, @DiEM_25 co-founder &amp; @deineuropa lead candidate for the #EUelections2019, on Julian #Assang…",1118136863808790528
Sun Apr 14 18:13:06 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147764,101,#Julian_Assange #Noam_Chomsky &amp; #Tariq_Ali Interview https://t.co/deRvOcACOO,1117490979060244485
Sat Apr 13 13:52:20 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147768,1125,You have to start with the truth. The truth is the only way that we can get anywhere. Because any decision-making t… https://t.co/eBu9NDaUF0,1117062969530224646
Sat Apr 13 13:42:58 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147772,149,"#NoamChomsky says ~#CIA Targeting of #JulianAssange &amp; #Wikileaks Is ""Disgraceful Act"" https://t.co/MymHxifkem",1117060610481692672
Sat Apr 13 13:35:42 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147775,52,"#NoamChomsky on '#Wikileaks, #JulianAssange, #Snowden, and #Manning' (2017) https://t.co/97OVsOalLt",1117058782817861632
Sat Apr 13 04:37:28 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147779,275,#JulianAssange’s Lawyers Vow to Fight His Extradition to the #United_States https://t.co/l0JaSRaZg3,1116923332895674368
Fri Apr 12 17:38:18 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147783,1963,Chomsky: Arrest of #julianAssange Is “Scandalous” and Highlights Shocking Extraterritorial Reach of U.S. https://t.co/YaxLCy9X63,1116757448788992001
Fri Apr 12 17:36:00 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147787,1024,#JulianAssangeArrested  #JulianAssange #JulianAssangeArrest https://t.co/I1uFHhHfOk,1116756866808160256
Fri Apr 12 11:59:21 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147790,3397,"Every time we witness an injustice and do not act, we train our character to be passive in its presence and thereby… https://t.co/DkDwy3gen6",1116672147529846784
Fri Apr 12 11:56:16 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147794,35,"It's roughly the case that if systems become too complex to study in sufficient depth, physics hands them over to c… https://t.co/TXG3vOJfES",1116671373961846784
Fri Apr 12 11:55:56 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147797,78,"If you want to become a biologist, it doesn't help to go into the Harvard biology library and all the information i… https://t.co/9r3eiABs1a",1116671289282965504
Thu Apr 11 22:27:40 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147801,106,"#NoamChomsky on #JulianAssange
https://t.co/bvZiOktTTn",1116467880084803587
Thu Apr 11 22:25:14 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147805,38,https://t.co/oz4Uca1RIL,1116467270115569664
Sun Apr 07 12:12:28 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147818,29,You can imagine a different world in which a number of species developed with different genetically determined ling… https://t.co/n8L1Ttd1r4,1114863511384010752
Sun Apr 07 12:11:57 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147822,63,"While language can surely be used for communication (as can much else), communication probably has no special role… https://t.co/Ca6xasHw2g",1114863378001014784
Sun Apr 07 12:10:52 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147826,20,"In the literal sense, there has been no relevant evolution since the trek from Africa. But there has been substanti… https://t.co/NoPtRW5JYV",1114863107036332032
Sat Apr 06 11:38:08 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147829,68,"#NoamChomsky on #WikiLeaks/ #JulianAssange, Obama's Targeted Assassinations and Latin America's Break From US https://t.co/huZkMJqIx6",1114492480320196608
