Quotes,Author,Political Orientation
"To affirm that humans thrive in many different ways is not to deny that there are universal human values. Nor is it to reject the claim that there should be universal human rights. It is to deny that universal values can only be fully realized in a universal regime. Human rights can be respected in a variety of regimes, liberal and otherwise. Universal human rights are not an ideal constitution for a single regime throughout the world, but a set of minimum standards for peaceful coexistence among regimes that will always remain different.",John Gray,Left
"I may not be as unambiguously hostile to capitalism as many people are, but what I don't like about it is the commodification of personal experiences, it turns everyone into actors.",John Gray,Left
"What I liked was Thatcherism's Bolshevik aspect, which was to shake up the whole of Britain quite fundamentally, and if you read what I wrote in those years I think you might agree that in taking the view that I did then — that this was necessary and desirable — I never subscribed to the main delusion of the Thatcherites, which was that you could change everything and everything would remain the same. If what you wanted was a very anarchic, globalised, polyglot, mixed-up society in which most of the structures which had somehow been renewed from the Edwardian period to the Sixties were destroyed, then Thatcherism was what would do the job.",John Gray,Left
"The core of the belief in progress is that human values and goals converge in parallel with our increasing knowledge. The twentieth century shows the contrary. Human beings use the power of scientific knowledge to assert and defend the values and goals they already have. New technologies can be used to alleviate suffering and enhance freedom. They can, and will, also be used to wage war and strengthen tyranny. Science made possible the technologies that powered the industrial revolution. In the twentieth century, these technologies were used to implement state terror and genocide on an unprecedented scale. Ethics and politics do not advance in line with the growth of knowledge — not even in the long run.",John Gray,Left
"Terror is not now, if it ever was, something that comes to us from outside. It is a part of the society in which we live. Both liberals and neoconservatives believe terrorism can be dealt with by removing its causes. The truth is less reassuring. Al-Qaeda has mutated into a decentralised, often locally based type of apocalyptic terrorism and, in this new guise, seems to be acquiring a formidable momentum.",John Gray,Left
"If you want to understand the beliefs that are shaping global politics, read the Book of Revelation.",John Gray,Left
"Blair has been the modern man he claims to be: for him, a sense of subjective certainty is all that is needed for an action to be right. If deception is needed to realise the providential design, it cannot be truly deceitful.",John Gray,Left
"Liberals tend to regard being subjects of the Queen as an insult to their dignity. But at least the archaic structures by which we are ruled do not force us to define ourselves by blood, soil or faith, and we are protected from the poisonous politics of identity.",John Gray,Left
The result of toppling tyranny in divided countries is usually civil war and ethnic cleansing.,John Gray,Left
"While the Marxist faith in central planning is now confined to a few dingy sects, a quasi-religious belief in free markets continues to shape the policies of governments.Many writers have pointed to the havoc and ruin that have accompanied the imposition of free markets across the world. Whether in Africa, Asia, Latin America or post-communist Europe, policies of wholesale privatisation and structural adjustment have led to declining economic activity and social dislocation on a massive scale.",John Gray,Left
