Quotes,Author,Political Orientation
"If the world’s largest economy looked poised to show that kind of visionary leadership, other major emitters — like the European Union, China, and India — would almost certainly find themselves under intense pressure from their own populations to follow suit.",Naomi Klein,Left
"Decades from now, if we are exquisitely lucky enough to tell a thrilling story about how humanity came together in the nick of time to intercept the metaphorical meteor, the pivotal chapter will not be the highly produced cinematic moment when Barack Obama won the Democratic primary and told an adoring throng of supporters that this would be “the moment when the rise of the oceans began to slow and our planet began to heal.” No, it will be the far less scripted and markedly more scrappy moment when a group of fed-up young people from the Sunrise Movement occupied the offices of Pelosi after the midterm elections, calling on her to get behind the plan for a Green New Deal — with Alexandria Ocasio-Cortez dropping by the sit-in to cheer them on.",Naomi Klein,Left
"Those could be the famous last words of a one-term president, having wildly underestimated the public appetite for transformative action on the triple crises of our time: imminent ecological unraveling, gaping economic inequality (including the racial and gender wealth divide), and surging white supremacy.",Naomi Klein,Left
"There is a grand story to be told here about the duty to repair — to repair our relationship with the earth and with one another, to heal the deep wounds dating back to the founding of the country. Because while it is true that climate change is a crisis produced by an excess of greenhouse gases in the atmosphere, it is also, in a more profound sense, a crisis produced by an extractive mindset — a way of viewing both the natural world and the majority of its inhabitants as resources to use up and then discard. I call it the “gig and dig” economy and firmly believe that we will not emerge from this crisis without a shift in worldview, a transformation from “gig and dig” to an ethos of care and repair...The Green New Deal will need to be subject to constant vigilance and pressure from experts who understand exactly what it will take to lower our emissions as rapidly as science demands, and from social movements that have decades of experience bearing the brunt of false climate solutions, whether nuclear power, the chimera of carbon capture and storage, or carbon offsets.  But in remaining vigilant, we also have to be careful not to bury the overarching message: that this is a potential lifeline that we all have a sacred and moral responsibly to reach for.",Naomi Klein,Left
"What haunts me is not exactly the absence of literal space so much as a deep craving for metaphorical space: release, escape, some kind of open-ended freedom.",Naomi Klein,Left
"When Nike says, just do it, that's a message of empowerment. Why aren't the rest of us speaking to young people in a voice of inspiration?",Naomi Klein,Left
"The title No Logo is not meant to be read as a literal slogan (as in No More Logos!), or a post-logo logo (there is already a No Logo clothing line, or so I'm told). Rather, it is an attempt to capture an Anticorporate attitude I see emerging among many young activists. This book is hinged on a simple hypothesis: that as more people discover the brand-name secrets of the global logo web, their outrage will fuel the next big political movement, a vast wave of opposition squarely targeting transnational corporations, particularly those with very high name-brand recognition.",Naomi Klein,Left
"So, if consumers are like roaches, then marketers must forever be dreaming up new concoctions for industrial-strength Raid.",Naomi Klein,Left
"With the tentacles of branding reaching into every crevice of youth culture, leaching brand-image content not only out of street styles like hip-hop but psychological attitudes like ironic detachment, the cool hunt has had to go further afield to find unpilfered space and that left only one frontier: the past.",Naomi Klein,Left
"In many ways, schools and universities remain our culture's most tangible embodiment of public space and collective responsibility. University campuses in particular —with their residences, libraries, green spaces and common standards for open and respectful discourse - play a crucial, if now largely symbolic, role: they are the one place left where young people can see a genuine public life being lived. And however imperfectly we may have protected these institutions in the past, at this point in our history the argument against transforming education into a brand-extension exercise is much the same as the one for national parks and nature reserves: these quasi-sacred spaces remind us that unbranded space is still possible.",Naomi Klein,Left
"While brands slowly transform the experience of campus life for undergraduates, another kind of takeover is under way at the institutional research level. All over the world, university campuses are offering their research facilities, and priceless academic credibility, for the brands to use as they please.",Naomi Klein,Left
"As we look back, it seems like willful blindness. The abandonment of the radical economic foundation of the women's and civil-rights movements by the conflation of causes that came to be called political correctness successfully retrained generation of activists in the politics of image, not action.",Naomi Klein,Left
"Despite different cultures, middle-class youth all over the world seem to live their lives as if in a parallel universe. They get up in the morning, put on their Levi's and Nikes, grab their caps and backpacks, and Sony personal CD players and head for school.",Naomi Klein,Left
"Like so much of cool hunting, Hilfiger's marketing journey feeds off the alienation at the heart of America's race relations: selling white youth on their fetishization of black style, and black youth on their fetishization of white wealth.",Naomi Klein,Left
"Rather than calling attention to the house of mirrors, that passes for empirical truth (as postmodern acadimics did), and rather than fighting for better mirrors (as the ID warriors did), today's media activists are concentrating on shattering the impenetrable shiny surfaces of branded culture, picking up the pieces and using them as sharp weapons in a war of actions, not ideas.",Naomi Klein,Left
"When we lack the ability to talk back to entities that are culturally and politically powerful, the very foundations of free speech and democratic society are called into question.",Naomi Klein,Left
"Job creation as part of the corporate mission, particularly the creation of fll time, decently paid, stable jobs, appears to have taken a back seat in many major corporations, regardless of company profits",Naomi Klein,Left
"Culture jamming is enjoying a resurgence, in part because of technological advancements but also more pertinently, because of the good old rules of supply and demand. Something not far from the surfaces of the public psyche is delighted to see the icons of corporate power subverted and mocked. There is, in short, a market for it. With commercialism able to overpower the traditional authority of religion, politics and schools, corporations have emerged a the natural targets for all sorts of free-floating rage and rebellion. The new ethos that culture jamming taps into is go-for-the-corporate-jugular.",Naomi Klein,Left
