,Author,Contain,Political Orientation,Quotes,Unnamed: 0,auto,rep,texicity
0,Yanis Varoufakis,no,Left,"Had history been democratic in its ways, there would have been no farming and no industrial revolution. Both leaps into the future were occasioned by unbearably painful crises that made most people wish they could recoil into the past.",35280.0,0.0,1.0,history democratic ways would farming industrial revolution leaps future occasioned unbearably painful crises made people wish could recoil past
1,Yanis Varoufakis,no,Left,"Most politicians cannot be theorists. First, because they are rarely thinkers; second, because the frenetic lifestyle they impose on themselves leaves no time for big ideas. But most of all because to be a theorist you have to admit the possibility of being wrong – the provisionality of knowledge – and you know you cannot spin your way out of a theoretical problem.",35281.0,0.0,1.0,politicians cannot theorists first rarely thinkers second frenetic lifestyle impose leaves time big ideas theorist admit possibility wrong provisionality knowledge know cannot spin way theoretical problem
2,Yanis Varoufakis,no,Left,"Regular crises perpetuate the past by reinvigorating cycles which started long ago. In contrast, (capital-C) Crises are the past's death knell. They function like laboratories in which the future is incubated. They have given us agriculture and the industrial revolution, technology and the labour contract, killer germs and antibiotics. Once they strike, the past ceases to be a reliable predictor of the future and a brave new world is born.",35282.0,0.0,1.0,regular crises perpetuate past reinvigorating cycles started long ago contrast capital c crises past death knell function like laboratories future incubated given us agriculture industrial revolution technology labour contract killer germs antibiotics strike past ceases reliable predictor future brave new world born
3,Yanis Varoufakis,no,Left,"As Tony Benn, the British Labour politician, once suggested, we should constantly ask those who govern us five questions: What power have you got? Where did you get it from? In whose interests do you exercise it? To whom are you accountable? And how can we get rid of you?",35283.0,0.0,1.0,tony benn british labour politician suggested constantly ask govern us five questions power got get whose interests exercise accountable get rid
4,Yanis Varoufakis,no,Left,"... toxic derivatives were underpinned by toxic economics, which, in turn, were no more than motivated delusions in search of theoretical justification; fundamentalist tracts that acknowledged facts only when they could be accommodated to the demands of the lucrative faith. Despite their highly impressive labels and technical appearance, economic models were merely mathematized versions of the touching superstition that markets know best, both at times of tranquility and in periods of tumult.",35284.0,0.0,1.0,toxic derivatives underpinned toxic economics turn motivated delusions search theoretical justification fundamentalist tracts acknowledged facts could accommodated demands lucrative faith despite highly impressive labels technical appearance economic models merely mathematized versions touching superstition markets know best times tranquility periods tumult
5,Yanis Varoufakis,no,Left,"Leonard Schapiro, writing on Stalinism, warned us that the true object of propaganda is neither to convince nor even to persuade. But to produce a uniform pattern of public utterances in which the first trace of unorthodox thought reveals itself as a jarring dissonance.",35285.0,0.0,1.0,leonard schapiro writing stalinism warned us true object propaganda neither convince even persuade produce uniform pattern public utterances first trace unorthodox thought reveals jarring dissonance
6,Yanis Varoufakis,no,Left,"Beneath the specific events that I experienced, I recognised a universal story – the story of what happens when human beings find themselves at the mercy of cruel circumstances that have been generated by an inhuman, mostly unseen network of power relations. This is why there are no ‘goodies’ or ‘baddies’ in this book. Instead, it is populated by people doing their best, as they understand it, under conditions not of their choosing. Each of the persons I encountered and write about in these pages believed they were acting appropriately, but, taken together, their acts produced misfortune on a continental scale. Is this not the stuff of authentic tragedy? Is this not what makes the tragedies of Sophocles and Shakespeare resonate with us today, hundreds of years after the events they relate became old news?",35287.0,0.0,1.0,beneath specific events experienced recognised universal story story happens human beings find mercy cruel circumstances generated inhuman mostly unseen network power relations goodies baddies book instead populated people best understand conditions choosing persons encountered write pages believed acting appropriately taken together acts produced misfortune continental scale stuff authentic tragedy makes tragedies sophocles shakespeare resonate us today hundreds years events relate became old news
7,Yanis Varoufakis,no,Left,"To put it slightly differently, small sovereign nations, like Iceland, have choices to make within the broader constraints created for them by nature and by the rest of humanity. However limited these choices might be, Iceland’s body politic retains absolute authority to hold their elected officials accountable for the decisions they have reached within the nation’s exogenous constraints, and to strike down every piece of legislation that it has decided upon in the past. (...) In this sense, small, powerless Iceland continues to enjoy full sovereignty while the comparatively omnipotent European Union has been stripped of all forms of sovereignty.",35288.0,0.0,1.0,put slightly differently small sovereign nations like iceland choices make within broader constraints created nature rest humanity however limited choices might iceland body politic retains absolute authority hold elected officials accountable decisions reached within nation exogenous constraints strike every piece legislation decided upon past sense small powerless iceland continues enjoy full sovereignty comparatively omnipotent european union stripped forms sovereignty
8,Yanis Varoufakis,no,Left,"It is at this point in the book that the author famously laments that despite our ability to bring food from the earth, we are incapable of creating a system in which the hungry can be fed.",35289.0,0.0,1.0,point book author famously laments despite ability bring food earth incapable creating system hungry fed
9,Yanis Varoufakis,no,Left,Corporatists like Robert Schuman and Jean Monnet were bent on constructing the Brussels-based bureaucracy as a democracy-free zone.,35291.0,0.0,1.0,corporatists like robert schuman jean monnet bent constructing brussels based bureaucracy democracy free zone
10,Yanis Varoufakis,no,Left,But this was not a bailout. Greece was never bailed out. Nor were the rest of Europe’s swine,35292.0,0.0,1.0,bailout greece never bailed rest europe swine
11,Yanis Varoufakis,no,Left,"Few progressive Europeans would argue against a democratic United States of Europe, with a proper government elected on a pan-European ticket and answerable to a proper parliament vested with complete sovereignty over all decisions and matters. But this is pure wishful thinking. The sobering reality is that it is not in the European Union’s DNA naturally to evolve into a federation.",35293.0,0.0,1.0,progressive europeans would argue democratic united states europe proper government elected pan european ticket answerable proper parliament vested complete sovereignty decisions matters pure wishful thinking sobering reality european union dna naturally evolve federation
12,Yanis Varoufakis,no,Left,"And so it turns out that all talk of gradual moves toward a political union and toward more Europe are not first steps toward a European democratic federation but, rather, and ominously, a leap into an iron cage that prolongs the crisis and wrecks any prospect of a genuine federal European democracy in the future.",35294.0,0.0,1.0,turns talk gradual moves toward political union toward europe first steps toward european democratic federation rather ominously leap iron cage prolongs crisis wrecks prospect genuine federal european democracy future
13,Yanis Varoufakis,no,Left,"In a move that will remain in Irish annals as a stigma comparable to the potato famine, the Dublin government succumbed to ECB blackmail: make the German creditors of Ireland’s commercial banks whole, even a bank that was closed down and thus no longer systemically important for Ireland’s financial sector, or else.",35295.0,0.0,1.0,move remain irish annals stigma comparable potato famine dublin government succumbed ecb blackmail make german creditors ireland commercial banks whole even bank closed thus longer systemically important ireland financial sector else
14,Yanis Varoufakis,no,Left,"In the case of the Irish banks, the private bonds that they had purchased were uninsured. In the case of Greek state bonds, their buyers also knew that these were Greek law contracts, meaning that they could be given a haircut (written down) by a future stressed Greek government. This is precisely why the interest rates were higher than in Germany. Higher risk, higher rewards. As long as the gamble was paying off, the German bankers reaped benefits that they shared with no one. But when the gambles turned bad, as Irish banks and the Greek state failed, they demanded that the taxpayers of Greece and Ireland pay up, as if they had bought insurance from them.",35296.0,0.0,1.0,case irish banks private bonds purchased uninsured case greek state bonds buyers also knew greek law contracts meaning could given haircut written future stressed greek government precisely interest rates higher germany higher risk higher rewards long gamble paying german bankers reaped benefits shared one gambles turned bad irish banks greek state failed demanded taxpayers greece ireland pay bought insurance
15,Yanis Varoufakis,no,Left,ALEXIS DE TOQUEVILLE once wrote that those who praise freedom only for the material benefits it offers have never kept it long.,35297.0,0.0,1.0,alexis de toqueville wrote praise freedom material benefits offers never kept long
16,Yanis Varoufakis,no,Left,"While it would have been straightforward, and perfectly legal, to allow Irish banks or the Greek state to default to their private creditors (so as to respect the no-bailout clause), the authorities’ guilty desire to bail out the German and French banks (without telling taxpayers that this was what they were doing) led to the need to violate the no-bailout rule by concocting another rule: the no-default rule, which was never part of Europe’s original set of rules. (...) Both the freshly minted no-default rule and the original no-bailout clause were political whims of the strong disguised as legal constraints upon the weak. In reality, the strong break their rules at will and concoct new rules whenever they think it suits them.",35298.0,0.0,1.0,would straightforward perfectly legal allow irish banks greek state default private creditors respect bailout clause authorities guilty desire bail german french banks without telling taxpayers led need violate bailout rule concocting another rule default rule never part europe original set rules freshly minted default rule original bailout clause political whims strong disguised legal constraints upon weak reality strong break rules concoct new rules whenever think suits
17,Yanis Varoufakis,no,Left,All dynamic societies founded their success on two production processes that unfolded in parallel: the manufacturing of a surplus and the manufacturing of consent (regarding its distribution).,35441.0,0.0,1.0,dynamic societies founded success two production processes unfolded parallel manufacturing surplus manufacturing consent regarding distribution
18,Yanis Varoufakis,no,Left,"They are unanimous in their hate for me; and I welcome their hatred. (quoting FDR announcing the Second New Deal, 1936)",35442.0,0.0,1.0,unanimous hate welcome hatred quoting fdr announcing second new deal 
19,Yanis Varoufakis,no,Left,"Rather, an authentic drama was afoot reminiscent of a play by Aeschylus or Shakespeare in which powerful schemers end up caught in a trap of their own making. In the real-life drama I was witnessing, Summers’s sacred rule of insiders kicked in the moment they recognized their powerlessness. The hatches were battened down, official denial prevailed, and the consequences of the tragic impasse they’d created were left to unfold on autopilot, imprisoning them yet further in a situation they detested for weakening their hold over events.",35443.0,0.0,1.0,rather authentic drama afoot reminiscent play aeschylus shakespeare powerful schemers end caught trap making real life drama witnessing summers sacred rule insiders kicked moment recognized powerlessness hatches battened official denial prevailed consequences tragic impasse created left unfold autopilot imprisoning yet situation detested weakening hold events
20,Yanis Varoufakis,no,Left,Count Coudenhove-Kalergi put it succinctly in one of his speeches when he declared his ambition that Europe supersedes democracy and that democracy be replaced by a social aristocracy of the spirit.52,35444.0,0.0,1.0,count coudenhove kalergi put succinctly one speeches declared ambition europe supersedes democracy democracy replaced social aristocracy spirit 
21,Yanis Varoufakis,no,Left,"Most Europeans like to think that American bankruptocracy is worse than its European cousin, thanks to the power of Wall Street and the infamous revolving door between the US banks and the US government. They are very, very wrong. Europe’s banks were managed so atrociously in the years preceding 2008 that the inane bankers of Wall Street almost look good by comparison. When the crisis hit, the banks of France, Germany, the Netherlands and the UK had exposure in excess of $30 trillion, more than twice the United States national income, eight times the national income of Germany, and almost three times the national incomes of Britain, Germany, France and Holland put together.8 A Greek bankruptcy in 2010 would have immediately necessitated a bank bailout by the German, French, Dutch and British governments amounting to approximately $10,000 per child, woman and man living in those four countries. By comparison, a similar market turn against Wall Street would have required a relatively tiny bailout of no more than $258 per US citizen. If Wall Street deserved the wrath of the American public, Europe’s banks deserved 38.8 times that wrath. But",35445.0,0.0,1.0,europeans like think american bankruptocracy worse european cousin thanks power wall street infamous revolving door us banks us government wrong europe banks managed atrociously years preceding  inane bankers wall street almost look good comparison crisis hit banks france germany netherlands uk exposure excess $ trillion twice united states national income eight times national income germany almost three times national incomes britain germany france holland put together  greek bankruptcy  would immediately necessitated bank bailout german french dutch british governments amounting approximately $  per child woman man living four countries comparison similar market turn wall street would required relatively tiny bailout $ per us citizen wall street deserved wrath american public europe banks deserved   times wrath
22,Yanis Varoufakis,no,Left,"As I have frequently observed, there is a widespread belief in Europe’s north that the continent is populated by hard-working law-abiding ants on the one hand and lazy tax-avoiding grasshoppers on the other, and that all the ants live in the north while mysteriously the grasshoppers congregate in the south.",35446.0,0.0,1.0,frequently observed widespread belief europe north continent populated hard working law abiding ants one hand lazy tax avoiding grasshoppers ants live north mysteriously grasshoppers congregate south
23,Yanis Varoufakis,no,Left,It is the mark of ancient societies that contemporary tribulations reinvent old fears.,35447.0,0.0,1.0,mark ancient societies contemporary tribulations reinvent old fears
24,Yanis Varoufakis,no,Left,"General Motors is alive and kicking today, it is because in 2009 President Obama’s administration wrote off 90 percent of its debt.",35448.0,0.0,1.0,general motors alive kicking today  president obama administration wrote  percent debt
25,Yanis Varoufakis,no,Left,"Take, for example, Vlasic pickles, a well-known everyday brand. Walmart’s ‘innovation’ was to sell these pickles in one gallon (3.8 litre) jars for $2.97. Was this a shrewd retailer’s response to market demand? No it was not. Who would want to buy almost four litres of pickles? Few family fridges had the necessary room for such an item. So what was the selling point? It was the idea of a huge quantity at an ultra-low price. Walmart’s customers, in this sense, were not buying pickles as such. They were buying into the symbolic value of cheapness; into the notion of having appropriated so many pickles for so little money. Indeed, it made them feel as though they were Walmart’s accomplices – in association with an icon of American corporate might, they had forced",35449.0,0.0,1.0,take example vlasic pickles well known everyday brand walmart innovation sell pickles one gallon   litre jars $  shrewd retailer response market demand would want buy almost four litres pickles family fridges necessary room item selling point idea huge quantity ultra low price walmart customers sense buying pickles buying symbolic value cheapness notion appropriated many pickles little money indeed made feel though walmart accomplices association icon american corporate might forced
26,Yanis Varoufakis,no,Left,"If you cannot imagine walking out of a negotiation, you should never enter it. If you cannot fathom the idea of an impasse you might as well confine yourself to the role of a supplicant who implores the despot to grant him several privileges",35450.0,0.0,1.0,cannot imagine walking negotiation never enter cannot fathom idea impasse might well confine role supplicant implores despot grant several privileges
27,Yanis Varoufakis,no,Left,"In reality, states never repay their debt. They roll it over, meaning they defer repayment endlessly, paying only the interest on the loans. As long as they can keep doing this, they remain solvent.10 It helps to think of public debt as a hole in the ground next to a mountain representing the nation’s total income. Day by day the hole gets steadily deeper as interest accrues on the debt, even if the state does not borrow more. But during the good times, as the economy grows, the income mountain is steadily getting taller. As long as the mountain rises faster than the debt hole deepens, the extra income added to the mountain’s summit can be shovelled into the adjacent hole, keeping its depth stable and the state solvent. Insolvency beckons when the economy stops growing or starts to contract: recession then eats into a country’s income mountain, doing nothing to slow the pace at which the debt hole continues to grow.",35451.0,0.0,1.0,reality states never repay debt roll meaning defer repayment endlessly paying interest loans long keep remain solvent  helps think public debt hole ground next mountain representing nation total income day day hole gets steadily deeper interest accrues debt even state borrow good times economy grows income mountain steadily getting taller long mountain rises faster debt hole deepens extra income added mountain summit shovelled adjacent hole keeping depth stable state solvent insolvency beckons economy stops growing starts contract recession eats country income mountain nothing slow pace debt hole continues grow
28,Yanis Varoufakis,no,Left,We were divided and ultimately we were ruled.,35452.0,0.0,1.0,divided ultimately ruled
29,Yanis Varoufakis,no,Left,"Could the Crash of 2008, then, be nothing more than our periodic chance to realize how far we have allowed our will to be subjugated to capital? Was it a jolt that ought to awaken us to the reality that capital has become a ‘force we must submit to’, a power that developed ‘a cosmopolitan, universal energy which breaks through every limit and every bond and posits itself as the only policy, the only universality, the only limit and the only bond’?",35453.0,0.0,1.0,could crash  nothing periodic chance realize far allowed subjugated capital jolt ought awaken us reality capital become force must submit power developed cosmopolitan universal energy breaks every limit every bond posits policy universality limit bond
30,Yanis Varoufakis,no,Left,"And here lies a delicious paradox: consent grew more powerful the more economic life was financialized. And as finance grew in importance, the more prone our societies became to economic crises. Hence the interesting observation that modern societies tend to produce both more consent and more violent crises.",35454.0,0.0,1.0,lies delicious paradox consent grew powerful economic life financialized finance grew importance prone societies became economic crises hence interesting observation modern societies tend produce consent violent crises
31,Yanis Varoufakis,no,Left,leverage – a fancy term for good old debt.,35456.0,0.0,1.0,leverage fancy term good old debt
32,Yanis Varoufakis,no,Left,"Nothing prepares a people for authoritarianism better than defeat, followed closely by national humiliation and an economic implosion.",35459.0,0.0,1.0,nothing prepares people authoritarianism better defeat followed closely national humiliation economic implosion
33,Yanis Varoufakis,no,Left,"Between them, the leaders of France and Germany had a stake of around €1 trillion in not allowing the Greek government to tell the truth; that is, to confess to its bankruptcy. Yet they still had to find a way to bail out their bankers a second time without telling their parliaments that this was what they were doing. As Jean-Claude Juncker, then prime minister of Luxembourg and later president of the European Commission, once said, ‘When it becomes serious, you have to lie.",35600.0,0.0,1.0,leaders france germany stake around € trillion allowing greek government tell truth confess bankruptcy yet still find way bail bankers second time without telling parliaments jean claude juncker prime minister luxembourg later president european commission said becomes serious lie
