Quotes,Author,Political Orientation
"Stay focused. Talk about things that’ll matter to the people, you know? It’s the economy, stupid.",James Carville,Progressive-Liberal
"Let me buy a [security] pass … so that they can scan me and and search me and measure my penis, then let me get on the plane.",James Carville,Progressive-Liberal
"John McCain, if you liked the last eight, you are going to love the next four.",James Carville,Progressive-Liberal
"You can call the dogs in, wet the fire, and leave the house. The hunt's over.",James Carville,Progressive-Liberal
"[On Hillary Clinton and Barack Obama] If she gave him one of her cojones, they'd both have two.",James Carville,Progressive-Liberal
"Mr. Richardson’s endorsement came right around the anniversary of the day when Judas sold out for 30 pieces of silver, so I think the timing is appropriate, if ironic.",James Carville,Progressive-Liberal
"Whenever I hear a campaign talk about a need to energize the base, that's a campaign that's going down the toilet. It's a pretty good indication that they're not eating up any territory, they can't get anybody in the center to support them, they're getting shelled back into their own bunker.",James Carville,Progressive-Liberal
[Hollywood] hates America.,James Carville,Progressive-Liberal
Who cares? Sometimes you need rebirth. (On the destruction of America),James Carville,Progressive-Liberal
Washington is a dirty diaper. It's time for a change.,James Carville,Progressive-Liberal
"Hurricane [Katrina] hit the Gulf Coast and destroyed much of the Gulf Coast — that was an act of God … Now what happened to New Orleans, that was a complete failure of the federal government. Complete negligence by the feds.",James Carville,Progressive-Liberal
I didn’t just experiment with marijuana — if you know what I mean.,James Carville,Progressive-Liberal
"Yeah, I graduated with a 4.0… blood alcohol level.",James Carville,Progressive-Liberal
"Back in 2000 a Republican friend warned me that if I voted for Al Gore and he won, the stock market would tank, we'd lose millions of jobs, and our military would be totally overstretched. You know what? I did vote for Al Gore, he did win, and I'll be damned if all those things didn't come true!",James Carville,Progressive-Liberal
Republicans want smaller government for the same reason crooks want fewer cops: it's easier to get away with murder.,James Carville,Progressive-Liberal
"Between Paoli and Penn Hills, Pennsylvania is Alabama without the blacks. They didn't film The Deer Hunter there for nothing -- the state has the second-highest concentration of NRA members, behind Texas.",James Carville,Progressive-Liberal
"Look, if George W. Bush and his Republican cronies walked on water, I'd be the guy out there yelling that they couldn't swim. But don't take it from me: we've now heard it from the military commanders and our intelligence community: George Bush's actions in Iraq have not made us safer. They've done the opposite.",James Carville,Progressive-Liberal
"What I'm suggesting is, stand for yourself, be for something and the hell with it. Because the hand-wringers and the editorialists and the sigh-and-pontificate crowd will be against you, whatever you do.",James Carville,Progressive-Liberal
"Drag a hundred-dollar bill through a trailer park, you never know what you'll find.",James Carville,Progressive-Liberal
Elections are about fucking your enemies. Winning is about fucking your friends.,James Carville,Progressive-Liberal
"At the beginning of the Clinton administration in the early 1990s, adviser James Carville was stunned at the power the bond market had over the government. If he came back, Carville said: I used to think if there was reincarnation, I wanted to come back as the president or the pope or a .400 baseball hitter. But now I want to come back as the bond market. You can intimidate everybody.",James Carville,Progressive-Liberal
"When your opponent is drowning, throw the son of a bitch an anvil.",James Carville,Progressive-Liberal
