Quotes,Author,Political Orientation
"The main dimensions of Marx’s discussion of alienation are as follows: ...1. The worker … has no power to determine the fate of what he produces. ...2. The work task does not offer intrinsic satisfactions. ...3. Human relations, in capitalism, tend to become reduced to operations of the market. … Money promotes the rationalization of social relationships, since it provides an abstract standard in terms of which the most heterogeneous qualities can be compared, and reduced, to one another. ...4. Some animals do produce, of course, but only in a mechanical, adaptive fashion. Alienated labor reduces human productive activity to the level of adaptation to, rather than active mastery of, nature.",Anthony Giddens,Progressive-Liberal
"Political economy … founds its theory of society upon the self-seeking of the isolated individual. Political economy, in this way, “incorporates private property into the very essence of man.”",Anthony Giddens,Progressive-Liberal
"It is usually assumed that, in speaking, in the 1844 Manuscripts, of man’s “being reduced to the level of the animals,” and of man’s alienation from his “species-being” under the conditions of capitalist production, Marx is thinking in terms of an abstract conception of “man” as being alienated from his biological characteristics as a species. So, it is presumed, at this initial stage in the evolution of his thought, Marx believed that man is essentially a creative being whose “natural” propensities are denied by the restrictive character of capitalism. Actually, Marx holds, on the contrary, that the enormous productive power of capitalism generates possibilities for the future development of man which could not have been possible under prior forms of productive system. The organization of social relationships within which capitalist production is carried on in fact leads to the failure to realize these historically generated possibilities. The character of alienated labor does not express a tension between “man in nature” (non-alienated) and “man in society” (alienated), but between the potential generated by a specific form of society—capitalism—and the frustrated realization of that potential. What separates man from the animals is not the mere existence of biological differences between mankind and other species, but the cultural achievements of men, which are the outcome of a very long process of social development.",Anthony Giddens,Progressive-Liberal
"The main form of crude communism is based upon emotional antipathy towards private property, and asserts that all men should be reduced to a similar level, so that everyone has an equal share of property. This is not genuine communism, Marx asserts, since it rests upon the same sort of distorted objectification of labor as is found in the theory of political economy. Crude communism of this sort becomes impelled towards a primitive asceticism, in which the community has become the capitalist instead of the individual. In crude communism, the rule of property is still dominant, but negatively: “Universal envy setting itself up as a power is only a camouflaged form of cupidity which re-establishes itself and satisfies itself in a different way.”",Anthony Giddens,Progressive-Liberal
"Human consciousness is conditioned in a dialectical interplay between subject and object, in which man actively shapes the world he lives in at the same time as it shapes him.",Anthony Giddens,Progressive-Liberal
"The expropriated peasantry are “turned en masse into beggars, vagabonds, partly from inclination, in most cases from stress of circumstances.” This is met with fierce legislation against vagrancy, by which means the vagabond population is subjected to “the discipline necessary for the wage system.”",Anthony Giddens,Progressive-Liberal
"The concept of the “isolated individual” is a construction of the bourgeois philosophy of individualism, and serves to conceal the social character which production always manifests.",Anthony Giddens,Progressive-Liberal
"Marx rejects as “absurd” the contention made by John Stuart Mill, and many of the political economists, that while production is governed by definite laws, distribution is controlled by (malleable) human institutions. Such a view underlies the assumption that classes are merely inequalities in the distribution of income, and therefore that class conflict can be alleviated or even eliminated altogether by the introduction of measures which minimize discrepancies between incomes.",Anthony Giddens,Progressive-Liberal
"The main defect of idealism in philosophy and history is that it attempts to analyze the properties of societies by inference from the content of the dominant systems of ideas in those societies. But this neglects altogether the fact that there is not a unilateral relationship between values and power: the dominant class is able to disseminate ideas which are the legitimations of its position of dominance. Thus the ideas of freedom and equality which come to the fore in bourgeois society cannot be taken at their “face value,” as directly summing up social reality; on the contrary, the legal freedoms which exist in bourgeois society actually serve to legitimize the reality of contractual obligations in which propertyless wage-labor is heavily disadvantaged as compared to the owners of capital. … While ideologies obviously show continuity over time, neither this continuity. nor any changes which occur, can be explained purely in terms of their internal content. Ideas do not evolve on their own account; they do so as elements of the consciousness of men living in society.",Anthony Giddens,Progressive-Liberal
"To renew the energy expended in physical labour, the worker must be provided with the requirements of his existence as a functioning organism—food, clothing, and shelter for himself and his family. The labour time socially necessary to produce the necessities of life of the worker is the value of the worker’s labour power. The latter’s value is, therefore, reducible to a specifiable quantity of commodities: those which the worker requires to be able to subsist and reproduce.",Anthony Giddens,Progressive-Liberal
