Quotes,Author,Political Orientation
"[George Washington] in uniform patriotism can salute one flag only, embrace but the first circle of life — one's own land and tribe. In war that is necessary, in peace it is not enough. Events enlarged his embrace to a wholly new idea of nation — the United States of America. But less than a century later his descendant by marriage could not slip the more parochial tether. In the halls of the family home standing on the hill above us, General Robert E. Lee paced back and forth as he weighed the offer of Abraham Lincoln to take command of the Union Army on the eve of the Civil War. Lee turned the offer down and that evening took the train to Richmond. His country was still Virginia. We struggle today with the imperative of a new patriotism and citizenship. The Peace Corps has been showing us the way, and the volunteers and staff whom we honor this morning are the vanguard of that journey.",Bill Moyers,Progressive-Liberal
"As every volunteer testifies, the Peace Corps is more than a program or mission. It is a way of being in the world. This is a conservative notion because it holds dear the ground of one's own being — the culture and customs that gave meaning to a particular life. But it is a liberal notion for respecting the ground revered by others. This double helix in America's DNA may yet be the source of a new political and patriotism that could save us from toxic self-absorption.",Bill Moyers,Progressive-Liberal
Journalists who make mistakes get sued for libel; historians who make mistakes get to publish a revised edition.,Bill Moyers,Progressive-Liberal
"Conservatives — or better, pro-corporate apologists — hijacked the vocabulary of Jeffersonian liberalism and turned words like ""progress,"" ""opportunity,"" and ""individualism"" into tools for making the plunder of America sound like divine right … This ""degenerate and unlovely age,"" as one historian calls it, exists in the mind of Karl Rove — the reputed brain of George W. Bush — as the seminal age of inspiration for politics and governance of America today.",Bill Moyers,Progressive-Liberal
"The corporate right and the political right declared class warfare on working people a quarter of a century ago and they've won … Take the paradox of Rush Limbaugh, ensconced in a Palm Beach mansion massaging the resentments across the country of white-knuckled wage earners, who are barely making ends meet in no small part because of the corporate and ideological forces for whom Rush has been a hero.",Bill Moyers,Progressive-Liberal
No wonder scoundrels find refuge in patriotism; it offers them immunity from criticism.,Bill Moyers,Progressive-Liberal
"This ""zeal for secrecy"" I am talking about — and I have barely touched the surface — adds up to a victory for the terrorists. When they plunged those hijacked planes into the World Trade Center and the Pentagon three years ago this morning, they were out to hijack our Gross National Psychology. If they could fill our psyche with fear — as if the imagination of each one of us were Afghanistan and they were the Taliban — they could deprive us of the trust and confidence required for a free society to work. They could prevent us from ever again believing in a safe, decent or just world and from working to bring it about. By pillaging and plundering our peace of mind they could panic us into abandoning those unique freedoms — freedom of speech, freedom of the press — that constitute the ability of democracy to self-correct and turn the ship of state before it hits the iceberg.",Bill Moyers,Progressive-Liberal
"On the eve of the election last month my wife Judith and I were driving home late in the afternoon and turned on the radio for the traffic and weather. What we instantly got was a freak show of political pornography: lies, distortions, and half-truths — half-truths being perhaps the blackest of all lies. They paraded before us as informed opinion.",Bill Moyers,Progressive-Liberal
Standing up to your government can mean standing up for your country.,Bill Moyers,Progressive-Liberal
"A free press is one where it's okay to state the conclusion you're led to by the evidence. One reason I'm in hot water is because my colleagues and I at NOW didn't play by the conventional rules of Beltway journalism. Those rules divide the world into Democrats & Republicans, liberals & conservatives, and allow journalists to pretend they have done their job if instead of reporting the truth behind the news, they merely give each side an opportunity to spin the news.",Bill Moyers,Progressive-Liberal
"""News is what people want to keep hidden and everything else is publicity.""",Bill Moyers,Progressive-Liberal
"Bullies — political bullies, economic bullies, and religious bullies — cannot be appeased; they have to be opposed with courage, clarity, and conviction. This is never easy. These true believers don't fight fair. Robert's Rules of Order is not one of their holy texts.",Bill Moyers,Progressive-Liberal
