,Author,Quotes,Contain,Political Orientation,auto,texicity,rep
0,Juan Williams,"In the 2000 presidential election, Al Gore got more votes than George W. Bush, but still lost the election. The Supreme Court's ruling in Florida gave Bush that pivotal state, and doomed Gore to lose the Electoral College. That odd scenario - where the candidate with the most votes loses - has happened three times in U.S. history.",no,Progressive,0,number presidential election al gore got votes george w bush still lost election supreme court ruling florida gave bush pivotal state doomed gore lose electoral college odd scenario candidate votes loses happened three times u history,1.0
1,Juan Williams,"While Planned Parenthood provides abortions at some of their clinics, it also provides healthcare services for poor women, including checkups, mammograms, cervical cancer screenings and contraceptives.",no,Progressive,0,planned parenthood provides abortions clinics also provides healthcare services poor women including checkups mammograms cervical cancer screenings contraceptives,1.0
2,Juan Williams,"The 2012 presidential campaign's turn away from the classic, straight-up, American election - where the candidate who gets the most votes nationwide wins - is another sad reminder of the extreme political polarization distorting today's politics. No one talks about a 50-state strategy for winning the presidency these days.",no,Progressive,0,number presidential campaign turn away classic straight american election candidate gets votes nationwide wins another sad reminder extreme political polarization distorting today politics one talks number state strategy winning presidency days,1.0
3,Juan Williams,I support gun control. But speaking honestly about the combustible mix of race and guns may be more important to stopping the slaughter in minority communities than any new gun-control laws.,no,Progressive,0,support gun control speaking honestly combustible mix race guns may important stopping slaughter minority communities new gun control laws,1.0
4,Juan Williams,I pointed out that the Atlanta Olympic bomber - as well as Timothy McVeigh and the people who protest against gay rights at military funerals - are Christians but we journalists don't identify them by their religion.,no,Progressive,0,pointed atlanta olympic bomber well timothy mcveigh people protest gay rights military funerals christians journalists identify religion,1.0
5,Juan Williams,"If his presidency is to represent the full power of the idea that black Americans are just like everyone else - fully human and fully capable of intellect, courage and patriotism - then Barack Obama has to be subject to the same rough and tumble of political criticism experienced by his predecessors.",no,Progressive,0,presidency represent full power idea black americans like everyone else fully human fully capable intellect courage patriotism barack obama subject rough tumble political criticism experienced predecessors,1.0
6,Juan Williams,"As the 2012 elections approach the finish line, the chatter among columnists and political reporters is about upcoming books that take readers inside the campaigns, cutting-edge efforts to micro-target voters on Internet social applications, the enormous money flowing through super-PACs, and extreme political polarization.",no,Progressive,0,number elections approach finish line chatter among columnists political reporters upcoming books take readers inside campaigns cutting edge efforts micro target voters internet social applications enormous money flowing super pacs extreme political polarization,1.0
7,Juan Williams,"President Obama and Secretary Duncan have made stronger teacher evaluation a key part of their education reform efforts. Under their signature plan, called 'Race to the Top,' states can win federal support for schools by improving teacher evaluations.",no,Progressive,0,president obama secretary duncan made stronger teacher evaluation key part education reform efforts signature plan called race top states win federal support schools improving teacher evaluations,1.0
8,Juan Williams,In 2007 the 'dagger' of an idea that killed President Bush's effort at reforming the immigration system was lax border security.,no,Progressive,0,number dagger idea killed president bush effort reforming immigration system lax border security,1.0
9,Juan Williams,"When I'm on TV, I'm often talking to a conservative host. I may have another conservative arguing with me. You've got very limited time, and you're using 'sound-bite' type language.",no,Progressive,0,tv often talking conservative host may another conservative arguing got limited time using sound bite type language,1.0
10,Juan Williams,"Yes, agriculture subsidies are far too generous. They need to be reined in because they cater to special interests while distorting free market competition. Yes, the farm laws are an anachronistic mess.",no,Progressive,0,yes agriculture subsidies far generous need reined cater special interests distorting free market competition yes farm laws anachronistic mess,1.0
11,Juan Williams,"Every American president must be held to the highest standard. No president of any color should be given a free pass for screw-ups, lies or failure to keep a promise.",no,Progressive,0,every american president must held highest standard president color given free pass screw ups lies failure keep promise,1.0
12,Juan Williams,"The teachers' unions that block school reform have done serious damage to the union brand. The public no longer views unions as their friend, much less their champion. They view them as corrupt, intransigent and more interested in protecting their political clout within the Democratic Party than protecting their members or even school children.",no,Progressive,0,teachers unions block school reform done serious damage union brand public longer views unions friend much less champion view corrupt intransigent interested protecting political clout within democratic party protecting members even school children,1.0
13,Juan Williams,"The critical importance of honest journalism and a free flowing, respectful national conversation needs to be had in our country. But it is being buried as collateral damage in a war whose battles include political correctness and ideological orthodoxy.",no,Progressive,0,critical importance honest journalism free flowing respectful national conversation needs country buried collateral damage war whose battles include political correctness ideological orthodoxy,1.0
14,Juan Williams,Gun-related violence and murders are concentrated among blacks and Latinos in big cities.,no,Progressive,0,gun related violence murders concentrated among blacks latinos big cities,1.0
15,Juan Williams,"And there is no getting away from the fact - and this is a key point of discontent among many who are upset with the health care reform bill is it didn't go far enough. They say why isn't it in place now? Why don't I see some benefits now? All I see is the potential for losing insurance coverage, for premiums going up. That's hurting Obama.",no,Progressive,0,getting away fact key point discontent among many upset health care reform bill go far enough say place see benefits see potential losing insurance coverage premiums going hurting obama,1.0
16,Juan Williams,"For me, the key is I always have to be the same person. If someone was to hear me say something on Fox and hear me say something different on NPR, they would say, 'The guy is a hypocrite.'",no,Progressive,0,key always person someone hear say something fox hear say something different npr would say guy hypocrite,1.0
17,Juan Williams,"Apparently, the heart of opposition to new gun regulations is in the white community. Yet white people face far less daily violence with guns.",no,Progressive,0,apparently heart opposition new gun regulations white community yet white people face far less daily violence guns,1.0
18,Juan Williams,Alaska and Montana are not in the south but they definitely form part of the crimson tide of red states where Republicans are dominant.,no,Progressive,0,alaska montana south definitely form part crimson tide red states republicans dominant,1.0
19,Juan Williams,Teddy Kennedy rose to become a liberal lion by collaborating with Republicans.,no,Progressive,0,teddy kennedy rose become liberal lion collaborating republicans,1.0
20,Juan Williams,"Democrats cannot win elections without capturing the votes of independent-minded swing voters. And that is where writing off the Tea Party as a bunch of racist kooks becomes self-destructive. The Tea Party outrage over health-care reform, deficit spending and entitlements run amok is no fringe concern.",no,Progressive,0,democrats cannot win elections without capturing votes independent minded swing voters writing tea party bunch racist kooks becomes self destructive tea party outrage health care reform deficit spending entitlements run amok fringe concern,1.0
21,Juan Williams,"Yesterday NPR fired me for telling the truth. The truth is that I worry when I am getting on an airplane and see people dressed in garb that identifies them first and foremost as Muslims. This is not a bigoted statement. It is a statement of my feelings, my fears after the terrorist attacks of 9/11 by radical Muslims.",no,Progressive,0,yesterday npr fired telling truth truth worry getting airplane see people dressed garb identifies first foremost muslims bigoted statement statement feelings fears terrorist attacks number number radical muslims,1.0
22,Juan Williams,"Sometimes you have to understand that you push ahead, there's going to be a lot of flak, there's going to be a lot of dogs barking, but the wagon train moves ahead.",no,Progressive,0,sometimes understand push ahead going lot flak going lot dogs barking wagon train moves ahead,1.0
23,Juan Williams,"The question now is does Obama have any hope of raising money? I don't think he'll raise it out of the New York people, I don't think he's going to raise it out the Hollywood people, so where's the money going to come from for Barack Obama?",no,Progressive,0,question obama hope raising money think raise new york people think going raise hollywood people money going come barack obama,1.0
24,Juan Williams,"When you stop and look at so much of the kind of activism that has been triggered, the Tea Party and the like, as a result of Obama's efforts - TARP, the stimulus package, and now the health care reform - there is a lot of sense this government is changing.",no,Progressive,0,stop look much kind activism triggered tea party like result obama efforts tarp stimulus package health care reform lot sense government changing,1.0
25,Bill Moyers,Freedom begins the moment you realize someone else has been writing your story and it's time you took the pen from his hand and started writing it yourself.,no,Progressive,0,freedom begins moment realize someone else writing story time took pen hand started writing,1.0
27,Bill Moyers,"In marriage, everyday you love,and everyday you forgive.It is an ongoing sacrament, love and forgiveness",no,Progressive,0,marriage everyday love everyday forgive ongoing sacrament love forgiveness,1.0
28,Bill Moyers,Creativity is piercing the mundane to find the marvelous.,no,Progressive,0,creativity piercing mundane find marvelous,1.0
29,Bill Moyers,"Constitutional democracy, you see, is no romantic notion. It's our defense against ourselves, the one foe who might defeat us.",no,Progressive,0,constitutional democracy see romantic notion defense one foe might defeat us,1.0
30,Bill Moyers,"America's corporate and political elites now form a regime of their own and they're privatizing democracy. All the benefits - the tax cuts, policies and rewards flow in one direction: up.",no,Progressive,0,america corporate political elites form regime privatizing democracy benefits tax cuts policies rewards flow one direction,1.0
31,Bill Moyers,"When a library is open, no matter its size or shape, democracy is open, too.",no,Progressive,0,library open matter size shape democracy open,1.0
32,Bill Moyers,Civilization is but a thin veneer stretched across the passions of the human heart. And civilization doesn't just happen; we have to make it happen.,no,Progressive,0,civilization thin veneer stretched across passions human heart civilization happen make happen,1.0
33,Bill Moyers,"Sharing is the essence of teaching. It is, I have come to believe, the essence of civilization . . . Without it, the imagination is but the echo of the self, trapped in a soundproof chamber, reverberating upon itself until it is spent in exhaustion or futility",no,Progressive,0,sharing essence teaching come believe essence civilization without imagination echo self trapped soundproof chamber reverberating upon spent exhaustion futility,1.0
34,Bill Moyers,"Conservatism is less a set of ideas than it is a pathological distemper, a militant anger over the fact that the universe is not closed and life is not static.",no,Progressive,0,conservatism less set ideas pathological distemper militant anger fact universe closed life static,1.0
