,Author,Quotes,Contain,Political Orientation
0,Robert Reich,"Globalization and free trade do spur economic growth, and they lead to lower prices on many goods.",no,Progressive
1,Robert Reich,True patriotism isn't cheap. It's about taking on a fair share of the burden of keeping America going.,no,Progressive
2,Robert Reich,"The faith that anyone could move from rags to riches - with enough guts and gumption, hard work and nose to the grindstone - was once at the core of the American Dream.",no,Progressive
3,Robert Reich,"The only way to grow the economy in a way that benefits the bottom 90 percent is to change the structure of the economy. At the least, this requires stronger unions and a higher minimum wage.",no,Progressive
4,Robert Reich,You can't inspire people if you are going to be uninspiring.,no,Progressive
5,Robert Reich,One tax dodge often used by multi-national companies is to squirrel their earnings abroad in foreign subsidiaries located in countries where taxes are lower.,no,Progressive
6,Robert Reich,"Bankruptcy laws allow companies to smoothly reorganize, but not college graduates burdened by student loans.",no,Progressive
7,Robert Reich,"As public schools deteriorate, the upper-middle class and wealthy send their kids to private ones. As public pools and playgrounds decay, the better-off buy memberships in private tennis and swimming clubs. As public hospitals decline, the well-off pay premium rates for private care.",no,Progressive
8,Robert Reich,"As income from work has become more concentrated in America, the super rich have invested in businesses, real estate, art, and other assets. The income from these assets is now concentrating even faster than income from work.",no,Progressive
9,Robert Reich,"What are called 'public schools' in many of America's wealthy communities aren't really 'public' at all. In effect, they're private schools, whose tuition is hidden away in the purchase price of upscale homes there, and in the corresponding property taxes.",no,Progressive
10,Robert Reich,Nations are becoming less relevant in a world where everyone and everything is interconnected. The connections that matter most are again becoming more personal.,no,Progressive
11,Robert Reich,"Before the rise of the nation-state, between the eighteenth and twentieth centuries, the world was mostly tribal. Tribes were united by language, religion, blood, and belief. They feared other tribes and often warred against them.",no,Progressive
12,Robert Reich,Standing up to bullies is the hallmark of a civilized society.,no,Progressive
13,Robert Reich,"Can we please agree that in the real world, corporations exist for one purpose and one purpose only - to make as much money as possible, which means cutting costs as much as possible?",no,Progressive
14,Robert Reich,Those at the top would do better with a smaller share of a booming economy that elicits a positive politics than they will do with an ever-larger share of an anemic economy that fuels the politics of anger.,no,Progressive
15,Robert Reich,"A leader is someone who steps back from the entire system and tries to build a more collaborative, more innovative system that will work over the long term.",no,Progressive
16,Robert Reich,We do not want to live in a theocracy. We should maintain that barrier and government has no business telling someone what they ought to believe or how they should conduct their private lives.,no,Progressive
17,Robert Reich,"Our young people - their capacities to think, understand, investigate, and innovate - are America's future.",no,Progressive
18,Robert Reich,"The job creators are members of America's vast middle class and the poor, whose purchases cause businesses to expand and invest.",no,Progressive
19,Robert Reich,Technology is changing so fast that knowledge about specifics can quickly become obsolete. That's why so much of what technicians learn is on the job.,no,Progressive
20,Robert Reich,"It is hard to bite the hands that feed you, especially when you are competing for food.",no,Progressive
21,Robert Reich,Sugary drinks are blamed for increasing the rates of chronic disease and obesity in America. Yet efforts to reduce their consumption through taxes or other measures have gone nowhere. The beverage industry has spent millions defeating them.,no,Progressive
22,Robert Reich,The generosity of the super-rich is sometimes proffered as evidence they're contributing as much to the nation's well-being as they did decades ago when they paid a much larger share of their earnings in taxes.,no,Progressive
23,Robert Reich,It's not government's business what people do in their private bedrooms.,no,Progressive
24,Robert Reich,"We never used to blink at taking a leadership role in the world. And we understood leadership often required something other than drones and bombs. We accepted global leadership not just for humanitarian reasons, but also because it was in our own best interest. We knew we couldn't isolate ourselves from trouble. There was no place to hide.",no,Progressive
25,Robert Reich,"The largest party in America, by the way, is neither the Democrats nor the Republicans. It's the party of non-voters.",no,Progressive
26,Nicholas Kristof,"The wilderness is healing, a therapy for the soul.",no,Progressive
27,Nicholas Kristof,"Our world is enriched when coders and marketers dazzle us with smartphones and tablets, but, by themselves, they are just slabs. It is the music, essays, entertainment and provocations that they access, spawned by the humanities, that animate them - and us.",no,Progressive
28,Nicholas Kristof,"The conflict in Darfur could escalate to where we're seeing 100,000 victims per month.",no,Progressive
29,Nicholas Kristof,A few countries like Sri Lanka and Honduras have led the way in slashing maternal mortality.,no,Progressive
30,Nicholas Kristof,"Every high school and college graduate in America should, I think, have some familiarity with statistics, economics and a foreign language such as Spanish. Religion may not be as indispensable, but the humanities should be a part of our repertory. They may not enrich our wallets, but they do enrich our lives. They civilize us. They provide context.",no,Progressive
31,Nicholas Kristof,"I've always been interested in public health approaches because it seems to me we have this yearning for silver bullets, and that is not in fact how change comes about. Change comes through silver buckshot - a lot of little things that achieve results. That's a classic public health approach.",no,Progressive
32,Nicholas Kristof,"Perhaps no country in Latin America is more picturesque than Bolivia, and the most memorable Bolivian city may be Potosi.",no,Progressive
33,Nicholas Kristof,"Most of the time in the 21st century, we dominate our surroundings: We tweak the thermostat, and the temperature falls one degree. We push a button, and Taylor Swift sings for us. It's the opposite in the wilderness, which teaches us constantly that we are not lords of the universe but rather building blocks of it.",no,Progressive
34,Nicholas Kristof,"Inequality causes problems by creating fissures in societies, leaving those at the bottom feeling marginalized or disenfranchised.",no,Progressive
35,Nicholas Kristof,"Humans pull together in an odd way when they're in the wilderness. It's astonishing how few people litter and how much they help one another. Indeed, the smartphone app to navigate the Pacific Crest Trail, Halfmile, is a labor of love by hikers who make it available as a free download.",no,Progressive
36,Nicholas Kristof,"One of the most crucial kinds of intervention is in advocacy. We can think about charities in the context of delivering services, and indeed that is part of their job, but advocacy is also getting governments to step up to the plate. They can also give more voice to those who don't have one.",no,Progressive
37,Nicholas Kristof,"One of the aims of higher education is to broaden perspectives, and what better way than by a home stay in a really different country, like Bangladesh or Senegal? Time abroad also leaves one more aware of the complex prism of suspicion through which the United States is often viewed.",no,Progressive
38,Nicholas Kristof,"Sure, food stamps are occasionally misused, but anyone familiar with business knows that the abuse of food subsidies is far greater in the corporate suite. Every time an executive wines and dines a hot date on the corporate dime, the average taxpayer helps foot the bill.",no,Progressive
39,Nicholas Kristof,"Wilderness trails constitute a rare space in America marked by economic diversity. Lawyers and construction workers get bitten by the same mosquitoes and sip from the same streams; there are none of the usual signals about socioeconomic status, for most hikers are in shorts and a T-shirt and enveloped by an aroma that would make a skunk queasy.",no,Progressive
40,Nicholas Kristof,You no more have the right to risk others by failing to vaccinate than you do by sending your child to school with a hunting knife. Vaccination isn't a private choice but a civic obligation.,no,Progressive
41,Nicholas Kristof,"Individual storytelling is incredibly powerful. We as journalists know intuitively what scientists of the brain are discovering through brain scans, which is that emotional stories tend to open the portals, and that once there's a connection made, people are more open to rational arguments.",no,Progressive
42,Nicholas Kristof,Random violence is incredibly infectious.,no,Progressive
43,Nicholas Kristof,"In Angola, I visited 'HeroRats' that have been trained to sniff out land mines (and, in some countries, diagnose tuberculosis). In a day, they can clear 20 times as much of a minefield as a human, and they work for bananas!",no,Progressive
44,Nicholas Kristof,"Since the end of the 1970s, something has gone profoundly wrong in America. Inequality has soared. Educational progress slowed. Incarceration rates quintupled. Family breakdown accelerated. Median household income stagnated.",no,Progressive
45,Nicholas Kristof,The caricature of Islam as a violent and intolerant religion is horrendously incomplete. Remember that those standing up to Muslim fanatics are mostly Muslims.,no,Progressive
46,Nicholas Kristof,Utah may well be the most cosmopolitan state in America. Vast numbers of young Mormons - increasingly women as well as men - spend a couple of years abroad as missionaries and return jabbering in Thai or Portuguese and bearing a wealth of international experience.,no,Progressive
47,Nicholas Kristof,Beware of generalizations about any faith because they sometimes amount to the religious equivalent of racial profiling. Hinduism contained both Gandhi and the fanatic who assassinated him.,no,Progressive
48,Nicholas Kristof,"For all Trump's criticisms of government, his family wealth came from feeding at the government trough. His father, Fred Trump, leveraged government housing programs into a construction business; the empire was founded on public money.",no,Progressive
49,Nicholas Kristof,"There are very few things I've done just twice in my life, 40 years apart, and one is to backpack on the Pacific Crest Trail across the California/Oregon border.",no,Progressive
