Quotes,Author,Political Orientation
"Almost nobody in the peace camp will stand up and say that Saddam Hussein is not a fundamental problem for the world. Almost nobody in that camp is willing even to describe what the world will look like if the peace camp's advice is taken and Saddam is permitted to remain in power in Baghdad, working away on his biological, chemical, and nuclear weapons programs... They are playing culture war, and they are disguising their eruptions as position-taking on Iraq, a country about which they haven't even taken the trouble to inform themselves. … For most in the peace camp, there is only the fog. The debate is dominated by people who don't seem to know about Iraq and don't care. Their positions are not influenced by the facts of world affairs.",David Brooks (journalist),Moderate
"As good, naive Americans, we think that if only we can show the world the seriousness of the threat Saddam poses, then they will embrace our response. In our good, innocent way, we assume that in persuading our allies we are confronted with a problem of understanding. But suppose we are confronted with a problem of courage? Perhaps the French and the Germans are simply not brave enough to confront Saddam. Or suppose we are confronted with a problem of character? Perhaps the French and the Germans understand the risk Saddam poses to the world order. Perhaps they know that they are in danger as much as anybody. They simply would rather see American men and women--rather than French and German men and women--dying to preserve their safety. Far better, from this cynical perspective, to signal that you will not take on the terrorists--so as to earn their good will amidst the uncertain times ahead.",David Brooks (journalist),Moderate
"I do suspect that the decision to pursue this confrontational course emerges from Bush's own nature. He is a man of his word. He expects others to be that way too. It is indisputably true that Saddam has not disarmed. If people are going to vote against a resolution saying Saddam has not disarmed then they are liars. Bush wants them to do it in public, where history can easily judge them. Needless to say, neither the French nor the Russians nor the Chinese believe that honesty has anything to do with diplomacy. They see the process through an entirely different lens.",David Brooks (journalist),Moderate
"So now we stand at an epochal moment. The debate is over. The case has gone to the jury, and the jury is history. Events will soon reveal who was right, Bush or Chirac.",David Brooks (journalist),Moderate
"The political history of the 20th century is the history of social-engineering projects executed by well-intentioned people that began well and ended badly. There were big errors like communism, but also lesser ones, like a Vietnam War designed by the best and the brightest, urban renewal efforts that decimated neighborhoods, welfare policies that had the unintended effect of weakening families and development programs that left a string of white elephant projects across the world.These experiences drove me toward the crooked timber school of public philosophy: Michael Oakeshott, Isaiah Berlin, Edward Banfield, Reinhold Niebuhr, Friedrich Hayek, Clinton Rossiter and George Orwell. These writers — some left, some right — had a sense of epistemological modesty. They knew how little we can know. They understood that we are strangers to ourselves and society is an immeasurably complex organism. They tended to be skeptical of technocratic, rationalist planning and suspicious of schemes to reorganize society from the top down.",David Brooks (journalist),Moderate
Our moral and economic system is based on individual responsibility. It’s based on the idea that people have to live with the consequences of their decisions. This makes them more careful deciders. This means that society tends toward justice — people get what they deserve as much as possible.,David Brooks (journalist),Moderate
"The nation’s economy is not just the sum of its individuals. It is an interwoven context that we all share. To stabilize that communal landscape, sometimes you have to shower money upon those who have been foolish or self-indulgent. The greedy idiots may be greedy idiots, but they are our countrymen. And at some level, we’re all in this together. If their lives don’t stabilize, then our lives don’t stabilize.",David Brooks (journalist),Moderate
The message of the summoned life is that you don’t need to panic if you don’t yet know what you want to do with your life. But you probably want to throw yourselves into circumstances where the summons will come.,David Brooks (journalist),Moderate
"...list of different spheres of her life: reflection, creativity, community, intimacy, and service.",David Brooks (journalist),Moderate
Britain is blessed with a functioning political culture. It is dominated by people who live in London and who have often known each other since prep school. This makes it gossipy and often incestuous.,David Brooks (journalist),Moderate
"The journalists at Charlie Hebdo are now rightly being celebrated as martyrs on behalf of freedom of expression, but let’s face it. If they had tried to publish their satirical newspaper on any American university campus over the last two decades it wouldn't have lasted 30 seconds. Student and faculty groups would have accused them of hate speech. The administration would have cut financing and shut them down.",David Brooks (journalist),Moderate
"Americans may laud Charlie Hebdo for being brave enough to publish cartoons ridiculing the Prophet Muhammad, but, if Ayaan Hirsi Ali is invited to campus, there are often calls to deny her a podium. So this might be a teachable moment. As we are mortified by the slaughter of those writers and editors in Paris, it’s a good time to come up with a less hypocritical approach to our own controversial figures, provocateurs and satirists. The first thing to say, I suppose, is that whatever you might have put on your Facebook page yesterday, it is inaccurate for most of us to claim, Je Suis Charlie Hebdo, or I Am Charlie Hebdo. Most of us don’t actually engage in the sort of deliberately offensive humor that that newspaper specializes in.",David Brooks (journalist),Moderate
About once a month I run across a person who radiates an inner light. These people can be in any walk of life. They seem deeply good. They listen well. They make you feel funny and valued. You often catch them looking after other people and as they do so their laugh is musical and their manner is infused with gratitude. They are not thinking about what wonderful work they are doing. They are not thinking about themselves at all.,David Brooks (journalist),Moderate
