Quotes,Author,Political Orientation
"If war production should remain the only way out of a long-term depression, industrial society would be reduced to the choice between suicide through total war or suicide through total depression.",Peter Drucker,Moderate
This is a political book... It has a political purpose: to strengthen the will to maintain freedom against the threat of its abandonment in favor of totalitarianism.,Peter Drucker,Moderate
"As for the explanation that fascism is a last desperate attempt of capitalism to delay the socialist revolution, it simply is not true. It is not true that ‘big business’ promoted fascism. On the contrary, both in Italy and in Germany the proportion of fascist sympathizers and backers was smallest in the industrial and financial classes. It is equally untrue that ‘big business’ profits from fascism; of all the classes it probably suffers most from totalitarian economics and Wehrwirtschaft.",Peter Drucker,Moderate
"The most dangerous and at the same time most stupid explanation of fascism is the propaganda theory. In the first place, I have never been able to find anyone who could reconcile it with the fact that right up to the fascist victory—and in Italy beyond it—literally all means of propaganda were in the hands of uncompromising enemies of fascism. There was not one widely-read newspaper but poured ridicule on Hitler and Mussolini while the Nazi and the fascist press were unread and on the verge of bankruptcy. The radio in Germany, owned by the government, issued one anti-Nazi broadside after the other. More powerful than both, the established churches used all the enormous direct influence of the pulpit and the confessional to fight fascism and Nazism.",Peter Drucker,Moderate
"[T]he ‘total state’ of fascism is not a political alignment within the existing political and social setup, but that it is a revolution which, like all revolutions, works from without.",Peter Drucker,Moderate
"Of course, every revolution repudiates what went on before and considers itself a conscious break with the past; it is only posterity that sees, or imagines it sees, the historical continuity. Fascism, however, goes much further in its negation of the past than any earlier political movement, because it makes this negation its main platform. What is even more important, it denies simultaneously ideas and tendencies which are in themselves antithetic.",Peter Drucker,Moderate
"The Nazi agitator whom, many years ago, I heard proclaim to a wildly cheering peasants’ meeting: ‘We don’t want lower bread prices, we don’t want higher bread prices, we don’t want unchanged bread prices—we want National-Socialist bread prices,’ came nearer explaining fascism than anybody I have heard since.",Peter Drucker,Moderate
Of these denials of European tradition one is especially important: that is the refutation of the demand that the political and social order and the authority set up under it have to justify themselves as benefiting their subjects. Hardly any other concept or idea of our past is held up to so much ridicule by fascism as that of the justification of power. ‘Power is its own justification’ is regarded as self-evident. Nothing shows better how far the totalitarian revolution has already gone than the general acceptance of this new maxim throughout Europe as a matter of course… Not even the most fanatical advocates of absolute monarchy would have dared to justify the sovereign otherwise.,Peter Drucker,Moderate
"Equally striking is the fact that racial anti-Semitism was not taken seriously even by the great majority of Nazis. ‘It is just a catchword to attract voters’ was a standing phrase which everybody repeated and believed, and that I took it seriously was more than once regarded as definite proof of my stupidity and gullibility.",Peter Drucker,Moderate
"Fascism is the result of the collapse of Europe's spiritual and social order... catastrophes broke through the everyday routine which makes men accept existing forms, institutions and tenets as unalterable natural laws. They suddenly exposed the vacuum behind the facade of society.",Peter Drucker,Moderate
Capitalism as a social order and as a creed is the expression of the belief in economic progress as leading toward the freedom and equality of the individual in a free and open society. Marxism expects this society to result from the abolition of private profit. Capitalism expects the free and equal society to result from the enthronement of private profit as supreme ruler of social behavior...,Peter Drucker,Moderate
There is an unbroken chain of opposition to the introduction of economic freedom and to the capitalist autonomy of the economic sphere... In every case the opposition could only be overcome - peacefully or by force - because of the promise of capitalism to establish equality... That this promise was an illusion we all know.,Peter Drucker,Moderate
"With Christianity, freedom and equality became the two basic concepts of Europe; they are themselves Europe.",Peter Drucker,Moderate
