Quotes,Author,Political Orientation
"Ancient science had sought knowledge of what things are, to be contemplated as an end in itself satisfying to the knower. In contrast, modern science seeks knowledge of how things work, to be used as a means for the relief and comfort of all humanity, knowers and non-knowers alike.",Leon Kass,Moderate
"Even the modern word ""concept"" means ""a grasping together,"" implying that the mind itself, in its act of knowing, functions like the intervening hand (in contrast to its ancient counterpart, “idea,” “that which can be beheld,” which implies that the mind functions like the receiving eye). And modern science rejects, as meaningless or useless, questions that cannot be answered by the application of method. Science becomes not the representation and demonstration of truth, but an art: the art of finding the truth—or, rather, that portion of truth that lends itself to be artfully found.",Leon Kass,Moderate
"The truths modern science finds—even about human beings—are value-neutral, in no way restraining, and indeed perfectly adapted for, technical application. In short, as Hans Jonas has put it, modern science contains manipulability at its theoretical core—and this remains true even for those great scientists who are themselves motivated by the desire for truth and who have no interest in that mastery over nature to which their discoveries nonetheless contribute and for which science is largely esteemed by the rest of us and mightily supported by the modern state.",Leon Kass,Moderate
"Could technology, understood as the disposition and activity of mastery, turn out to be a stumbling block in the path of the master himself?",Leon Kass,Moderate
"Francis Bacon, in his New Atlantis, could charge his elite scientists in Salomon’s House with practicing self-censorship to avoid publicizing dangerous knowledge. Here is how the Father of Salomon’s House describes their practice: “We have consultations, which of the inventions and experiences which we have discovered shall be published, and which not: and take all a oath of secrecy for the concealing of those which we think fit to keep secret: though some of those we do reveal sometime to the State, and some not.” Bacon, the first prophet of the new relation between science and society and of the “conquest of nature for the relief of man’s estate,” knew better than we that knowledge is dangerous, that publication is a public and politically relevant act, and that self-censorship on the part of scientists is necessary and desirable. The passage is also remarkable for its wonderful ambiguity regarding whether scientists or the State has ultimate authority over dangerous knowledge",Leon Kass,Moderate
"Many of our fellow citizens do not share the blind faith in the simple beneficence of all technological innovation. And because they do not share the corporealist, morally neutral, and in some cases atheistic world-view that they attribute (fairly or not) to science and scientists, they are reluctant to surrender the power of decision to the very people who they think are creating the problem.",Leon Kass,Moderate
"Grappling with real-life concerns — from cloning to courtship, from living authentically to dying with dignity — has made me a better reader. Reciprocally, reading in a wisdom-seeking spirit has helped me greatly in my worldly grapplings. Not being held to the usual dues expected of a licensed humanist — professing specialized knowledge or publishing learned papers — I have been able to wander freely and most profitably in all the humanistic fields. I have come to believe that looking honestly for the human being, following the path wherever it leads, may itself be an integral part of finding it. A real question, graced by a long life to pursue it among the great books, has been an unadulterated blessing.",Leon Kass,Moderate
"Fifty years ago, when Europeans and Americans still distinguished high culture from popular culture, and when classical learning was still highly esteemed in colleges and universities, C. P. Snow delivered his famous Rede Lecture at Cambridge University, ""The Two Cultures and the Scientific Revolution."" Snow did more than warn of the growing split between the old culture of the humanities and the rising culture of science. He took Britain's literary aristocracy to task for its dangerous dismissal of scientific and technological progress, which Snow believed offered the solutions to the world's deepest problems. In a vitriolic response to Snow, the literary critic F. R. Leavis defended the primacy of the humanities for a civilizing education, insisting that science must not be allowed to operate outside of the moral norms that a first-rate humanistic education alone could provide.",Leon Kass,Moderate
"In contrast to 50 years ago, few licensed humanists today embrace any view of the humanities that could in fact justify making them the centerpiece of a college curriculum.",Leon Kass,Moderate
"Diogenes … refuses to be taken in by complacent popular belief that we already know human goodness from our daily experience, or by confident professorial claims that we can capture the mystery of our humanity in ­definitions. But mocking or not, and perhaps speaking better than he knew, Diogenes gave elegantly simple expression to the humanist quest for self-knowledge: I seek the human being — my human being, your human being, our humanity. In fact, the embellished version of Diogenes' question comes to the same thing: To seek an honest man is, at once, to seek a human being worthy of the name, an honest-to-goodness exemplar of the idea of humanity, a truthful and truth-speaking embodiment of the animal having the power of articulate speech.",Leon Kass,Moderate
"[Medical] science was indeed powerful, but its self-understanding left much to be desired. It knew the human parts in ever-finer detail, but it concerned itself little with the human whole.  … The art of healing does not inquire into what health is, or how to get and keep it: The word ""health"" does not occur in the index of the leading textbooks of medicine. To judge from the way we measure medical progress, largely in terms of mortality ­statistics and defeats of deadly diseases, one gets the unsettling impression that the tacit goal of medicine is not health but rather bodily immortality, with every death today regarded as a tragedy that future medical research will prevent.",Leon Kass,Moderate
