Quotes,Author,Political Orientation
"This is a long book, not only in pages.",John Rawls,Moderate
I am particularly grateful to Nozick for his unfailing help and encouragement during the last stages.,John Rawls,Moderate
"Justice is the first virtue of social institutions, as truth is of systems of thought. A theory however elegant and economical must be rejected or revised if it is untrue; likewise laws and institutions no matter how efficient and well-arranged must be reformed or abolished if they are unjust. Each person possesses an inviolability founded on justice that even the welfare of society as a whole cannot override. For this reason justice denies that the loss of freedom for some is made right by a greater good shared by others. It does not allow that the sacrifices imposed on a few are outweighed by the larger sum of advantages enjoyed by many. Therefore in a just society the liberties of equal citizenship are taken as settled; the rights secured by justice are not subject to political bargaining or to the calculus of social interests.",John Rawls,Moderate
"The concept of justice I take to be defined, then, by the role of its principles in assigning rights and duties and in defining the appropriate division of social advantages. A conception of justice is an interpretation of this role.",John Rawls,Moderate
The principles of justice are chosen behind a veil of ignorance.,John Rawls,Moderate
It may be expedient but it is not just that some should have less in order that others may prosper.,John Rawls,Moderate
"A conception of justice cannot be deduced from self evident premises or conditions on principles; instead, its justification is a matter of the mutual support of many considerations, of everything fitted together into one coherent view.",John Rawls,Moderate
"Indeed, it is tempting to suppose that it is self evident that things should be so arranged so as to lead to the most good.",John Rawls,Moderate
An individual who finds that he enjoys seeing others in positions of lesser liberty understands that he has no claim whatever to this enjoyment.,John Rawls,Moderate
"An intuitionist conception of justice is, one might say, but half a conception.",John Rawls,Moderate
We may suppose that everyone has in himself the whole form of a moral conception.,John Rawls,Moderate
"Intuitionism is not constructive, perfectionism is unacceptable.",John Rawls,Moderate
Our concern is solely with the basic structure of society and its major institutions and therefore with the standard cases of social justice.,John Rawls,Moderate
"The first statement of the two principles reads as follows. First: each person is to have an equal right to the most extensive basic liberty compatible with a similar liberty for others. Second: social and economic inequalities are to be arranged so that they are both(a)reasonably expected to be to everyone's advantage, and (b) attached to positions and offices open to all.",John Rawls,Moderate
In all sectors of society there should be roughly equal prospects of culture and achievement for everyone similarly motivated and endowed. The expectations of those with the same abilities and aspirations should not be affected by their social class.,John Rawls,Moderate
"A scheme is unjust when the higher expectations, one or more of them, are excessive. If these expectations were decreased, the situation of the less favored would be improved.",John Rawls,Moderate
"The even larger difference between rich and poor makes the latter even worse off, and this violates the principle of mutual advantage.",John Rawls,Moderate
In justice as fairness society is interpreted as a cooperative venture for mutual advantage.,John Rawls,Moderate
"We may reject the contention that the ordering of institutions is always defective because the distribution of natural talents and the contingencies of social circumstance are unjust, and this injustice must inevitably carry over to human arrangements. Occasionally this reflection is offered as an excuse for ignoring injustice, as if the refusal to acquiesce in injustice is on a par with being unable to accept death. The natural distribution is neither just nor unjust; nor is it unjust that persons are born into society at some particular position. These are simply natural facts. What is just and unjust is the way that institutions deal with these facts. Aristocratic and caste societies are unjust because they make these contingencies the ascriptive basis for belonging to more or less enclosed and privileged social classes. The basic structure of these societies incorporates the arbitrariness found in nature. But there is no necessity for men to resign themselves to these contingencies. The social system is not an unchangeable order beyond human control but a pattern of human action. In justice as fairness men agree to avail themselves of the accidents of nature and social circumstance only when doing so is for the common benefit. The two principles are a fair way of meeting the arbitrariness of fortune; and while no doubt imperfect in other ways, the institutions which satisfy these principles are just.",John Rawls,Moderate
"Greater intelligence, wealth and opportunity, for example, allow a person to achieve ends he could not rationally contemplate otherwise.",John Rawls,Moderate
"The difference principle, for example, requires that the higher expectations of the more advantaged contribute to the prospects of the least advantaged.",John Rawls,Moderate
No one deserves his greater natural capacity nor merits a more favorable starting place in society.,John Rawls,Moderate
"If A were not allowed his better position, B would be even worse off than he is.",John Rawls,Moderate
"First of all, no one knows his place in society, his class position or social status; nor does he know his fortune in the distribution of natural assets and abilities, his intelligence and strength, and the like. Nor, again, does anyone know his conception of the good, the particulars of his rational plan of life, or even the special features of psychology such as his aversion to risk or liability to optimism or pessimism. More than this, I assume that the parties do not know the particular circumstances of their own society. That is, they do not know its particular economic or political situation, or the level of civilization and culture it has been able to achieve. The persons in the original position have no information as to which generation they belong.",John Rawls,Moderate
There are infinitely many variations of the initial situation and therefore no doubt indefinitely many theorems of moral geometry.,John Rawls,Moderate
The circumstances of justice may be described as the normal conditions under which human cooperation is both possible and necessary.,John Rawls,Moderate
"First of all, principles should be general. That is, it must be possible to formulate them without use of what would be intuitively recognized as proper names, or rigged definite descriptions.",John Rawls,Moderate
The claims of existing social arrangements and of self interest have been duly allowed for. We cannot at the end count them a second time because we do not like the result.,John Rawls,Moderate
To each according to his threat advantage does not count as a principle of justice.,John Rawls,Moderate
I have assumed throughout that the persons in the original position are rational.,John Rawls,Moderate
"Inequalities are permissible when they maximize, or at least all contribute to, the long term expectations of the least fortunate group in society.",John Rawls,Moderate
"Yet it seems extraordinary that the justice of increasing the expectations of the better placed by a billion dollars, say, should turn on whether the prospects of the least favored increase or decrease by a penny.",John Rawls,Moderate
We must not be enticed by mathematically attractive assumptions into pretending that the contingencies of men's social positions and the asymmetries of their situations somehow even out in the end. Rather we must choose our conception of justice fully recognizing that this is not and cannot be the case.,John Rawls,Moderate
"When the basic structure of society is publicly known to satisfy its principles for an extended period of time, those subject to these arrangements tend to develop a desire to act in accordance with these principles and to do their part in institutions which exemplify them",John Rawls,Moderate
Justice as fairness provides what we want.,John Rawls,Moderate
The fault of the utilitarian doctrine is that it mistakes impersonality for impartiality.,John Rawls,Moderate
Ideally a just constitution would be a just procedure arranged to insure a just outcome.,John Rawls,Moderate
Clearly when the liberties are left unrestricted they collide with one another.,John Rawls,Moderate
We must choose for others as we have reason to believe they would choose for themselves if they were at the age of reason and deciding rationally.,John Rawls,Moderate
The suppression of liberty is always likely to be irrational.,John Rawls,Moderate
"Let us now consider whether justice requires the toleration of the intolerant, and if so under what conditions. There are a variety of situations in which this question arises. Some political parties in democratic states hold doctrines that commit them to suppress the constitutional liberties whenever they have the power. Again, there are those who reject intellectual freedom but who nevertheless hold positions in the university. It may appear that toleration in these cases is inconsistent with the principles of justice, or at any rate not required by them.",John Rawls,Moderate
An intolerant sect has no right to complain when it is denied an equal liberty. … A person’s right to complain is limited to principles he acknowledges himself.,John Rawls,Moderate
Justice does not require that men must stand idly by while others destroy the basis of their existence.,John Rawls,Moderate
Essentially the fault lies in the fact that the democratic political process is at best regulated rivalry; it does not even in theory have the desirable properties that price theory ascribes to truly competitive markets.,John Rawls,Moderate
The fundamental criterion for judging any procedure is the justice of its likely results.,John Rawls,Moderate
"Properly understood, then, the desire to act justly derives in part from the desire to express most fully what we are or can be, namely free and equal rational beings with the liberty to choose.",John Rawls,Moderate
A just system must generate its own support.,John Rawls,Moderate
There is a divergence between private and social accounting that the market fails to register. One essential task of law and government is to institute the necessary conditions.,John Rawls,Moderate
