Quotes,Author,Political Orientation
"When you don't have a hammer, you don't want anything to look like a nail.",Robert Kagan,Moderate
The force de frappe was little more than symbolism; it relieved neither France nor Europe from strategic dependence on the United States...,Robert Kagan,Moderate
"The vast majority of Europeans always believed that the threat posed by Saddam Hussein was more tolerable than the risk of removing him. But Americans, being stronger, developed a lower threshold of tolerance for Saddam and his weapons of mass destruction.",Robert Kagan,Moderate
"The United States was losing interest in preserving European security, but at the same time it was hostile to European aspirations to take on the task themselves. Europeans complained about American perfidy, and Americans complained about European weakness and ingratitude.",Robert Kagan,Moderate
"Americans officials have found it hard to believe, but leading officials and politicians in Europe really have worried more about how the United States might handle or mishandle the problem on Iraq — by undertaking unilateral and extralegal military action — than they have ever worried about Iraq itself and Saddam Hussein's weapons of mass destruction.",Robert Kagan,Moderate
"When President Dwight Eisenhower undermined and humiliated Britain and France at Suez in 1956, it was only the most blatant of many American efforts to cut Europe down to size and reduce its already weakening global influence.",Robert Kagan,Moderate
"And now, in the final irony, the fact that the US military power has solved the European problem, especially the ""German problem"", allows Europeans today, and Germans in particular, to believe that American military power, and the ""strategic culture"" that has created and sustained it, is outmoded and dangerous.",Robert Kagan,Moderate
"American nationalism is not a blood-and-soil nationalism. No one's an American just because they were born in America or had American parents. American nationalism is built around this idea - and it happened to be, certainly at the time, an extremely revolutionary idea that only Americans believed in, by the way, at the time. Which was the principle of universal rights...",Robert Kagan,Moderate
"[T]o say that the United States is bad because it behaves like a group of humans behave I think is a mistake. And I think we have to have more realistic basis of comparison. And this is part of the problem with the myth that we create of ourselves. We create an idealized image of ourselves in the past that we are never living up to in the present, and I think that's an evasion really from facing reality.",Robert Kagan,Moderate
"Americans - one of the founders, Gouverneur Morris, described Americans as the first-born children of the commercial age. Because when American was founded, the ideas of Adam Smith, the ideas of John Locke were dominant. And American was founded on the ethos that individuals should go out and prosper and acquire. And Americans have been trying to acquire ever since, and this does affect American foreign policy. I wouldn't focus particularly on the middle class because I think it's true of all Americans of all classes. And it has shaped American policy.",Robert Kagan,Moderate
"The thing that I find striking, in addition to Americans not being aware always how they are bumping into others and intruding upon others, Americans also - because they have this view - because we have this view that we don't care, that we're really just about minding our own business, then events occur and we surprise ourselves and we do care.",Robert Kagan,Moderate
"No one sitting in Germany in 1945 would have said, “Oh don’t worry, it’s just natural to become a democracy.”",Robert Kagan,Moderate
"I think people are absolutely dreaming if they think that when the United States pulls out of Europe that Europe will just stay this calm, placid place. I think that we will throw Europe back into the same problem. And you don’t have to talk about Nazis or Hitler or any of that to say the norm in Europe is competition, conflict. And if we think that that’s over, I think that history tells us otherwise. And then again, so do we wind up – can we allow Europe in a way to fail as a liberal system without it affecting us? Again given the level of our trade, given the level of our communication, our involvement with them.",Robert Kagan,Moderate
"Grappling with real-life concerns — from cloning to courtship, from living authentically to dying with dignity — has made me a better reader. Reciprocally, reading in a wisdom-seeking spirit has helped me greatly in my worldly grapplings. Not being held to the usual dues expected of a licensed humanist — professing specialized knowledge or publishing learned papers — I have been able to wander freely and most profitably in all the humanistic fields. I have come to believe that looking honestly for the human being, following the path wherever it leads, may itself be an integral part of finding it. A real question, graced by a long life to pursue it among the great books, has been an unadulterated blessing.",Leon Kass,Moderate
"Fifty years ago, when Europeans and Americans still distinguished high culture from popular culture, and when classical learning was still highly esteemed in colleges and universities, C. P. Snow delivered his famous Rede Lecture at Cambridge University, ""The Two Cultures and the Scientific Revolution."" Snow did more than warn of the growing split between the old culture of the humanities and the rising culture of science. He took Britain's literary aristocracy to task for its dangerous dismissal of scientific and technological progress, which Snow believed offered the solutions to the world's deepest problems. In a vitriolic response to Snow, the literary critic F. R. Leavis defended the primacy of the humanities for a civilizing education, insisting that science must not be allowed to operate outside of the moral norms that a first-rate humanistic education alone could provide.",Leon Kass,Moderate
"In contrast to 50 years ago, few licensed humanists today embrace any view of the humanities that could in fact justify making them the centerpiece of a college curriculum.",Leon Kass,Moderate
