,Author,Quotes,Political Orientation,auto,texicity
0,Jonathan Haidt,Morality binds and blinds. It binds us into ideological teams that fight each other as though the fate of the world depended on our side winning each battle. It blinds us to the fact that each team is composed of good people who have something important to say.,Moderate,0,morality binds blinds binds us ideological teams fight though fate world depended side winning battle blinds us fact team composed good people something important say
1,Jonathan Haidt,Sports is to war as pornography is to sex.,Moderate,0,sports war pornography sex
2,Jonathan Haidt,"If you are in passionate love and want to celebrate your passion, read poetry. If your ardor has calmed and you want to understand your evolving relationship, read psychology. But if you have just ended a relationship and would like to believe you are better off without love, read philosophy.",Moderate,0,passionate love want celebrate passion read poetry ardor calmed want understand evolving relationship read psychology ended relationship would like believe better without love read philosophy
3,Jonathan Haidt,"Happiness is not something that you can find, acquire, or achieve directly. You have to get the conditions right and then wait. Some of those conditions are within you, such as coherence among the parts and levels of your personality. Other conditions require relationships to things beyond you: Just as plants need sun, water, and good soil to thrive, people need love, work, and a connection to something larger. It is worth striving to get the right relationships between yourself and others, between yourself and your work, and between yourself and something larger than yourself. If you get these relationships right, a sense of purpose and meaning will emerge.",Moderate,0,happiness something find acquire achieve directly get conditions right wait conditions within coherence among parts levels personality conditions require relationships things beyond plants need sun water good soil thrive people need love work connection something larger worth striving get right relationships others work something larger get relationships right sense purpose meaning emerge
4,Jonathan Haidt,"[W]hen a group of people make something sacred, the members of the cult lose the ability to think clearly about it. Morality binds and blinds.",Moderate,0,w hen group people make something sacred members cult lose ability think clearly morality binds blinds
5,Jonathan Haidt,"We should not expect individuals to produce good, open-minded, truth-seeking reasoning, particularly when self-interest or reputational concerns are in play. But if you put individuals together in the right way, such that some individuals can use their reasoning powers to disconfirm the claims of others, and all individuals feel some common bond or shared fate that allows them to interact civilly, you can create a group that ends up producing good reasoning as an emergent property of the social system. This is why it's so important to have intellectual and ideological diversity within any group or institution whose goal is to find truth (such as an intelligence agency or a community of scientists) or to produce good public policy (such as a legislature or advisory board).",Moderate,0,expect individuals produce good open minded truth seeking reasoning particularly self interest reputational concerns play put individuals together right way individuals use reasoning powers disconfirm claims others individuals feel common bond shared fate allows interact civilly create group ends producing good reasoning emergent property social system important intellectual ideological diversity within group institution whose goal find truth intelligence agency community scientists produce good public policy legislature advisory board
6,Jonathan Haidt,Love and work are to people what water and sunshine are to plants.,Moderate,0,love work people water sunshine plants
7,Jonathan Haidt,"If you grow up in a WEIRD society, you become so well educated in the ethic of autonomy that you can detect oppression and inequality even where the apparent victims see nothing wrong.",Moderate,0,grow weird society become well educated ethic autonomy detect oppression inequality even apparent victims see nothing wrong
8,Jonathan Haidt,"People bind themselves into political teams that share moral narratives. Once they accept a particular narrative, they become blind to alternative moral worlds.",Moderate,0,people bind political teams share moral narratives accept particular narrative become blind alternative moral worlds
9,Jonathan Haidt,"Those who think money can't buy happiness just don't know where to shop … People would be happier and healthier if they took more time off and spent it with their family and friends, yet America has long been heading in the opposite direction. People would be happier if they reduced their commuting time, even if it meant living in smaller houses, yet American trends are toward even larger houses and ever longer commutes. People would be happier and healthier if they took longer vacations even if that meant earning less, yet vacation times are shrinking in the United States, and in Europe as well. People would be happier, and in the long run and wealthier, if they bought basic functional appliances, automobiles, and wristwatches, and invested the money they saved for future consumption; yet, Americans and in particular spend almost everything they have – and sometimes more – on goods for present consumption, often paying a large premium for designer names and superfluous features.",Moderate,0,think money buy happiness know shop people would happier healthier took time spent family friends yet america long heading opposite direction people would happier reduced commuting time even meant living smaller houses yet american trends toward even larger houses ever longer commutes people would happier healthier took longer vacations even meant earning less yet vacation times shrinking united states europe well people would happier long run wealthier bought basic functional appliances automobiles wristwatches invested money saved future consumption yet americans particular spend almost everything sometimes goods present consumption often paying large premium designer names superfluous features
