Quotes,Author,Political Orientation
I would remind you that extremism in the defense of liberty is no vice! And let me remind you also that moderation in the pursuit of justice is no virtue!,Barry Goldwater,Conservatives
"Those who seek absolute power, even though they seek it to do what they regard as good, are simply demanding the right to enforce their own version of heaven on earth. And let me remind you, they are the very ones who always create the most hellish tyrannies. Absolute power does corrupt, and those who seek it must be suspect and must be opposed. Their mistaken course stems from false notions of equality, ladies and gentlemen. Equality, rightly understood, as our founding fathers understood it, leads to liberty and to the emancipation of creative differences. Wrongly understood, as it has been so tragically in our time, it leads first to conformity and then to despotism.",Barry Goldwater,Conservatives
I'm the most underdog underdog there is.,Barry Goldwater,Conservatives
"It is a fact that Lyndon Johnson and his curious crew seem to believe that progress in this country is best served simply and directly through the ever-expanding gift power of the everlastingly growing Federal Government. One thing we all know, and I assure you I do: that's a much easier way to get votes than my way. It always has been. It's political Daddyism, and it's as old as demagogues and despotism.",Barry Goldwater,Conservatives
Most Americans have no real understanding of the operations of the international moneylenders... the accounts of the Federal Reserve have never been audited. It operates outside the control of Congress and... manipulates the credit of the United States,Barry Goldwater,Conservatives
"My faith in the future rests squarely on the belief that man, if he doesn't first destroy himself, will find new answers in the universe, new technologies, new disciplines, which will contribute to a vastly different and better world in the twenty-first century. Recalling what has happened in my short lifetime in the fields of communication and transportation and the life sciences, I marvel at the pessimists who tell us that we have reached the end of our productive capacity, who project a future of primarily dividing up what we now have and making do with less. To my mind the single essential element on which all discoveries will be dependent is human freedom.",Barry Goldwater,Conservatives
I think every good Christian ought to kick Falwell right in the ass.,Barry Goldwater,Conservatives
"I used to receive a hundred calls a year from people who wanted me to get into the Green Room at Wright-Patterson Air Force Base, because that's where the Air Force stored all the material gathered on UFOs. I once asked Curtis LeMay if I could get in that room, and he just gave me holy hell. He said, ""Not only can't you get into it but don't you ever mention it to me again."" Now, with the millions of planets that we know are up there, it's hard for me to believe that ours is the only goddam one that has things that can think walking around on it. So when people tell me they've seen UFOs, I don't say they haven't. In fifteen thousand hours of flying, I've never seen one, but I've talked to pilots who have. I talked to an airline crew that swore up and down that an object came alongside of them one night, and before they could do anything it vanished. We lost a military pilot who went up to intercept strange lights and never came back. His airplane disappeared, too. I won't argue for or against.",Barry Goldwater,Conservatives
You don't need to be 'straight' to fight and die for your country. You just need to shoot straight.,Barry Goldwater,Conservatives
Everyone knows that gays have served honorably in the military since at least the time of Julius Caesar.,Barry Goldwater,Conservatives
"I won't say the papers misquote me, but I sometimes wonder where Christianity would be today if some of those reporters had been Matthew. Mark. Luke, and John.",Barry Goldwater,Conservatives
"Mark my word, if and when these preachers get control of the [Republican] party, and they're sure trying to do so, it's going to be a terrible damn problem. Frankly, these people frighten me. Politics and governing demand compromise. But these Christians believe they are acting in the name of God, so they can't and won't compromise. I know, I've tried to deal with them.",Barry Goldwater,Conservatives
"Conservatism, we are told, is out-of-date. This charge is preposterous and we ought to boldly say so. The laws of God, and of nature, have no dateline. […] These principles are derived from the nature of man, and from the truths that God has revealed about His creation. […] To suggest that the Conservative philosophy is out of date is akin to saying that the Golden Rule, or the Ten Commandments or Aristotle’s Politics are out of date.",Barry Goldwater,Conservatives
"I have little interest in streamlining government or in making it more efficient, for I mean to reduce its size. I do not undertake to promote welfare, for I propose to extend freedom. My aim is not to pass laws, but to repeal them. It is not to inaugurate new programs, but to cancel old ones that do violence to the Constitution, or that have failed their purpose, or that impose on the people an unwarranted financial burden. I will not attempt to discover whether legislation is ""needed"" before I have first determined whether it is constitutionally permissible. And if I should later be attacked for neglecting my constituents' ""interests,"" I shall reply that I was informed that their main interest is liberty and that in that cause I am doing the very best I can.",Barry Goldwater,Conservatives
"It's a wonderful feeling to be a conservative these days. When I ran for President 17 years ago I was told I was behind the times. Now everybody tells me I was ahead of my time. All I can say is that time certainly is an elusive companion.  But those reactions illustrate how far the ideological pendulum has swung in recent years. The American people have expressed their desire for a new course in our public policy in this country, a conservative course.  Being a conservative in America traditionally has meant that one holds a deep, abiding respect for the Constitution. We conservatives believe sincerely in the integrity of the Constitution. We treasure the freedoms that document protects.  We believe, as the founding fathers did, that we ""are endowed by our Creator with certain unalienable rights; that among these are life, liberty and the pursuit of happiness.""",Barry Goldwater,Conservatives
"The specter of single-issue religious groups is growing over our land. … One of the great strengths of our political system always has been our tendency to keep religious issues in the background. By maintaining the separation of church and state, the United States has avoided the intolerance which has so divided the rest of the world with religious wars.",Barry Goldwater,Conservatives
"There is no position on which people are so immovable as their religious beliefs. There is no more powerful ally one can claim in a debate than Jesus Christ, or God, or Allah, or whatever one calls this supreme being. But like any powerful weapon, the use of God's name on one's behalf should be used sparingly. The religious factions that are growing throughout our land are not using their religious clout with wisdom. They are trying to force government leaders into following their position 100 percent. If you disagree with these religious groups on a particular moral issue, they complain, they threaten you with a loss of money or votes or both.",Barry Goldwater,Conservatives
"In the past couple years, I have seen many news items that referred to the Moral Majority, prolife and other religious groups as ""the new right,"" and the ""new conservatism."" Well, I have spent quite a number of years carrying the flag of the old conservatism. And I can say with conviction that the religious issues of these groups have little or nothing to do with conservative or liberal politics.  The uncompromising position of these groups is a divisive element that could tear apart the very spirit of our representative system, if they gain sufficient strength.  As it is, they are diverting us away from the vital issues that our Government needs to address. Far too much of the time of members of Congress and officials in the Executive Branch is used up dealing with special-interest groups on issues like abortion, school busing, ERA, prayer in the schools and pornography. While these are important moral issues, they are secondary right now to our national security and economic survival.",Barry Goldwater,Conservatives
"I must make it clear that I don't condemn these groups for what they believe. I happen to share many of the values emphasized by these organizations.  I'm frankly sick and tired of the political preachers across this country telling me as a citizen that if I want to be a moral person, I must believe in ""A,"" ""B,"" ""C"" and ""D."" Just who do they think they are? And from where do they presume to claim the right to dictate their moral beliefs to me? And I am even more angry as a legislator who must endure the threats of every religious group who thinks it has some God-granted right to control my vote on every roll call in the Senate. I am warning them today: I will fight them every step of the way if they try to dictate their moral convictions to all Americans in the name of ""conservatism.""  … This unrelenting obsession with a particular goal destroys the perspective of many decent people. They have become easy prey to manipulation and misjudgment.",Barry Goldwater,Conservatives
