Quotes,Author,Political Orientation
"What the welfare system and other kinds of governmental programs are doing is paying people to fail. In so far as they fail, they receive the money; in so far as they succeed, even to a moderate extent, the money is taken away.",Thomas Sowell,Conservatives
Socialism in general has a record of failure so blatant that only an intellectual could ignore or evade it.,Thomas Sowell,Conservatives
"Too many Republicans treat English as a second language, with Beltway lingo being their native tongue.",Thomas Sowell,Conservatives
The most fundamental fact about the ideas of the political left is that they do not work. Therefore we should not be surprised to find the left concentrated in institutions where ideas do not have to work in order to survive.,Thomas Sowell,Conservatives
"If you have always believed that everyone should play by the same rules and be judged by the same standards, that would have gotten you labeled a radical 50 years ago, a liberal 25 years ago and a racist today.",Thomas Sowell,Conservatives
"Ideas are everywhere, but knowledge is rare.",Thomas Sowell,Conservatives
"Ideas, as the raw material from which knowledge is produced, exist in superabundance, but that makes the production of knowledge more difficult rather than easier.",Thomas Sowell,Conservatives
Civilization is an enormous device for economizing on knowledge.,Thomas Sowell,Conservatives
"Knowledge may be enjoyed as a speculative diversion, but it is needed for decision making.",Thomas Sowell,Conservatives
"It is unnecessary to attempt any general rule as to where the overall balance lies in comparing the respective costs of knowledge in larger and smaller decision-making units. What is important is to understand that (1) the respective cost advantages of the large and small units differ according to the kind of knowledge involved (general versus specific), that (2) most decisions involve mixtures of the two kinds of knowledge, so that the net advantages of the larger and smaller units vary with the kind of decision, and (3) the effectiveness of hierarchical subordination varies with the extent to which the subordinate unit has knowledge advantages over the higher unit.",Thomas Sowell,Conservatives
"While decisions are constrained by the kinds of organizations and the kinds of knowledge involved, the Impetus for decisions comes from the internal preferences and external incentives facing those who actually make the decisions.",Thomas Sowell,Conservatives
Key indicators require some specified time span during which they are to be tabulated for purposes of reward or penalty. The time span can vary enormously according to the process and the indicator.,Thomas Sowell,Conservatives
"Before attempting to determine the effect of institutions, it is necessary to consider the inherent circumstances, constraints, and impelling forces at work in the environment within which the institutional mechanisms function.",Thomas Sowell,Conservatives
Freedom has cost too much blood and agony to be relinquished at the cheap price of rhetoric.,Thomas Sowell,Conservatives
"Facts do not ""speak for themselves."" They speak for or against competing theories. Facts divorced from theory or visions are mere isolated curiosities.",Thomas Sowell,Conservatives
Competition does a much more effective job than government at protecting consumers.,Thomas Sowell,Conservatives
One of the grand fallacies of our time is that something beneficial should be subsidized.,Thomas Sowell,Conservatives
The case for the political left looks more plausible on the surface but is harder to keep believing in as you become more experienced.,Thomas Sowell,Conservatives
Understanding the limitations of human beings is the beginning of wisdom.,Thomas Sowell,Conservatives
The key feature of Communist propaganda has been the depiction of people who are more productive as mere exploiters of others.,Thomas Sowell,Conservatives
"Much of the social history of the Western world over the past three decades has involved replacing what worked with what sounded good. In area after area - crime, education, housing, race relations - the situation has gotten worse after the bright new theories were put into operation. The amazing thing is that this history of failure and disaster has neither discouraged the social engineers nor discredited them.",Thomas Sowell,Conservatives
The first lesson of economics is scarcity: there is never enough of anything to fully satisfy all those who want it. The first lesson of politics is to disregard the first lesson of economics.,Thomas Sowell,Conservatives
"Both free speech rights and property rights belong legally to individuals, but their real function is social, to benefit vast numbers of people who do not themselves exercise these rights.",Thomas Sowell,Conservatives
Envy plus rhetoric equals 'social justice'.,Thomas Sowell,Conservatives
History shows that degeneracy can be turned around because it has been done in the past. But the real question today is: Will we turn it around-or is what we are doing likely to make matters worse?,Thomas Sowell,Conservatives
"When you want to help people, you tell them the truth. When you want to help yourself, you tell them what they want to hear.",Thomas Sowell,Conservatives
"I have never understood why it is ""greed"" to want to keep the money you have earned but not greed to want to take somebody else's money.",Thomas Sowell,Conservatives
"People who pride themselves on their ""complexity"" and deride others for being ""simplistic"" should realize that the truth is often not very complicated. What gets complex is evading the truth.",Thomas Sowell,Conservatives
"Those who believe that ""basic necessities"" should belong to people as a matter of right ignore the implication -- that people are to work only for amenities, frivolities, and ego. Will that mean more work or less work?  And if less, where are all those ""basic necessities"" coming from that the government is supposed to hand out?",Thomas Sowell,Conservatives
