Quotes,Author,Political Orientation
The indispensable first step to getting the things you want out of life is this: decide what you want.,Ben Stein,Conservatives
"For any exam in history, here is the answer: all human history is the struggle between systems that attempt to shackle the human personality in the name of some intangible good on the one hand and systems that enable and expand the scope of human personality in the pursuit of extremely tangible aims. The American system is the most successful in the world because it harmonizes best with the aims and longings of human personality while allowing the best protection to other personalities.",Ben Stein,Conservatives
"A few truths, for those who have ears and eyes and care to know the truth:1.) The hurricane that hit New Orleans and Mississippi and Alabama was an astonishing tragedy. The suffering and loss of life and peace of mind of the residents of those areas is acutely horrifying.2.) George Bush did not cause the hurricane. Hurricanes have been happening for eons. George Bush did not create them or unleash this one.3.) George Bush did not make this one worse than others. There have been far worse hurricanes than this before George Bush was born.",Ben Stein,Conservatives
I hope it won’t come as a surprise to anyone that a big part of male homosexual behavior is interest in young boys.,Ben Stein,Conservatives
"In today’s world, at least in America, an Einstein or a Newton or a Galileo would probably not be allowed to receive grants to study or to publish his research.  They cannot even mention the possibility that–as Newton or Galileo believed–these laws were created by God or a higher being. They could get fired, lose tenure, have their grants cut off. This can happen. It has happened.",Ben Stein,Conservatives
"Darwinism is still very much alive, utterly dominating biology. Despite the fact that no one has ever been able to prove the creation of a single distinct species by Darwinist means, Darwinism dominates the academy and the media.",Ben Stein,Conservatives
"[The] Third (problem with Darwinism), which I think is overwhelming, and just sort of blows the whole theory of Random Mutation out of the water, is, at least, let me say, raises big questions, that is. Assuming it all did happen by Random Mutation and Natural Selection, where did the laws of gravity come from. Where did the laws of thermodynamics come from? Where did the laws of motion and, of heat come from? Where, I guess that's the same as thermodynamics. Where did all these laws, that make it possible for the universe to function, where did they all come from? Why isn't all just chaos and everything collapsing in on itself and killing everything?",Ben Stein,Conservatives
"Neo-Darwinists ask us to believe in things not seen. We’re not supposed to have an established religion in America, but we do, and it’s called Darwinism.",Ben Stein,Conservatives
"Evolutionism, as taught by Darwinism, has nothing - nothing - to say about how life originated. Has nothing to say about how the governing principles in the universe - gravity, thermodynamics, motion, fluid motion - how any of those originated. It's...it's got some gigantic missing pieces.",Ben Stein,Conservatives
"We believe that Darwinism is the real Orthodox Church, because Darwinism asks you to believe in things unseen that are incredibly unlikely. Darwinism asks us to believe that out of pure random chance, we got a cell that is as complicated as a Boeing 777. Darwinism asks us to believe that one day there was nothing but mud and ooze, and the next day there was life, and very soon after there was intelligent life. Darwinism asks us to believe that you can destroy genetic material through random mutation and natural selection and yet end up with more genetic material. We don't really ask you to believe anything that difficult; it is sort of innate in mankind to believe that there is a God, a heavenly Father and we're asking you to just follow the consequences of that and see if possibly there could be some scientific validity to that.",Ben Stein,Conservatives
"Humans are alive, therefore life must be complex.",Ben Stein,Conservatives
"My feeling is that Darwinism is only at best a partial solution, and an extremely dangerous partial solution. I would say, based on the little I know, Darwinism explains microevolution within species quite well. As to its broader consequence and implications, I don't think it explains individual species evolution at all well.",Ben Stein,Conservatives
"And for me, it's pretty clear-cut that until we learn some better explanation for how life began, there is a God who always existed and created the heavens and the earth. And until somebody gives me a better explanation, I'll go for it. And it doesn't scare me at all when scientists say, ""Oh, but that can't be proved,"" because neither can any of the Darwinian hypotheses about how life began be proved. Anyway, I couldn't give a [profanity] whether a person calls himself a scientist. It doesn't earn any extra respect from me, because it's not as if science has covered itself with glory, morally, in my time. Scientists were the people in Germany telling Hitler that it was a good idea to kill all the Jews. Scientists were telling Stalin it was a good idea to wipe out the middle-class peasants. Scientists were telling Mao Tse-Tung it was fine to kill 50 million people in order to further the revolution.",Ben Stein,Conservatives
"I'm still not that familiar with it [Intelligent Design]. I'm more familiar with it than most people, but nowhere near as familiar with it as a genuine expert in the subject. I don't pretend to be a scientist. I'm the person who moderates the discussion between and among the scientists.",Ben Stein,Conservatives
"[I did] Some [reading to prep for Expelled]. I read one book cover to cover, From Darwin to Hitler, and that was a very interesting book--one of these rare books I wish had been even longer. It's about how Darwin's theory--supposedly concocted by this mild-mannered saintly man, with a flowing white beard like Santa Claus--led to the murder of millions of innocent people.",Ben Stein,Conservatives
"Yes, it [making Expelled] has made my belief in that [Intelligent Design] much stronger. It has pointed out something which haunted me ever since I learned about Darwinism, which is, Where did it all start? How did life start? Darwinism has nothing to say about that--nothing useful, anyway--but I think Intelligent Design has a great deal to say about it.",Ben Stein,Conservatives
"I went in thinking: ""I'm not going to find out that Darwinism is a fraud. I'll probably find out these (intelligent design proponents) are frauds."" But I wound up knowing a lot more than when I started. I learned that Darwinism is being overhyped, and that it doesn't really convey what's going on. Sometimes if you follow a ""truth"" far enough, it becomes a lie.",Ben Stein,Conservatives
And there hasn't been much progress in Darwinism since [the life of Darwin].,Ben Stein,Conservatives
