Quotes,Author,Political Orientation
"Monsters remain human beings. In fact, to reduce them to a subhuman level is to exonerate them of their acts of terrorism and mass murder — just as animals are not deemed morally responsible for killing. Insisting on the humanity of terrorists is, in fact, critical to maintaining their profound responsibility for the evil they commit.And, if they are human, then they must necessarily not be treated in an inhuman fashion. You cannot lower the moral baseline of a terrorist to the subhuman without betraying a fundamental value. That is why the Geneva Conventions have a very basic ban on ""cruel treatment and torture,"" and ""outrages upon personal dignity, in particular humiliating and degrading treatment"" — even when dealing with illegal combatants like terrorists. That is why the Declaration of Independence did not restrict its endorsement of freedom merely to those lucky enough to find themselves on U.S. soil — but extended it to all human beings, wherever they are in the world, simply because they are human.",Andrew Sullivan,Conservatives
Today's age of politicized and intolerant Christianism seems to me to be one of those moments when Christianity has estranged itself most thoroughly from the priorities and spirit of its founder. But this will pass. Christianity will survive Christianism. Some true followers of Jesus will recover their faith from Caesar's grip at some point.,Andrew Sullivan,Conservatives
First silence. Then denial. Then support of the insupportable. Then vilification of the dissenters. The pattern is as old as time.,Andrew Sullivan,Conservatives
Torture was necessary to maintain slavery. It was integral to slavery. You cannot have slavery without some torture or the threat of torture; and you cannot have torture without slavery. You cannot imprison a free man for ever unless you have broken him; and you can only forcibly break a man's soul by torturing it out of him. Slavery dehumanizes; torture dehumanizes in exactly the same way. The torture of human beings who have no freedom and no recourse to the courts is slavery.,Andrew Sullivan,Conservatives
"In thinking about the costs of this war, and thinking about renewing it, we have to reconsider what it has done to America. It has turned the U.S. military into a force at ease with abuse of captives and civilians, occupying a Muslim nation. Some of this is surely due to the sheer hell of fighting an enemy you cannot see, surrounded by people you do not understand or trust, and being killed randomly in urban or desert insurgency conditions where friend and foe are close to indistinguishable, and where your buddies are killed on a regular basis by faceless cowards. You can certainly understand how soldiers grow completely numb in the face of abuse in those circumstances. Every ""hajji"" can seem like the enemy after a while. It requires men and women of almost saintly capabilities to keep their moral bearings among terrorists who massacre scores of innocents as a religious duty, among people whose differences are impossible for young troops to figure out in split-seconds. In such conditions, and as a consequences of grotesque under-manning, the breakdown in ethical discipline is no big surprise. But that doesn't make it any the less of a big deal.",Andrew Sullivan,Conservatives
"At home, the public has come to accept torture as a legitimate instrument of government, something that the Founding Fathers would have been aghast at. We have come to accept that the president is not bound by habeas corpus, if he decides he isn't. He can sign laws and say they don't apply to him. We know that an American citizen can be detained for years without charges and tortured and abused — and then critical evidence of his torture will be ""lost."" We have come to accept our phones being tapped without a warrant and without our even knowing about it. These huge surrenders of liberty have occurred without much public outcry. When the next major terrorist attack comes, the question will simply be how much liberty Americans have left. That is a victory al Qaeda could not have achieved by force of arms. It is something they have achieved with our witting and conscious help.",Andrew Sullivan,Conservatives
"There is no state more abject than the man broken on the waterboarding rack, or frozen to near death, or forced to stand for days on end, or hooded and strapped to shackles in a ceiling, or having his legs pulpified by repeated beating, or forced to eat pork and drink alcohol against religious strictures. Everything I have just described has been done by US forces under the command and direction of George W. Bush. They are all acts of absolute tyranny, conducted by people who at that moment are absolute tyrants.",Andrew Sullivan,Conservatives
"A constitutional republic dedicated before everything to the protection of liberty cannot legalize torture and remain a constitutional republic. It imports into itself a tumor of pure tyranny. That tumor, we know from history, always always spreads, as it has spread in the US military these past shameful years. The fact that hefty proportions of US soldiers now support its use as a routine matter reveals how deep the rot has already gone. The fact that now a majority of Republican candidates proudly support such torture has rendered the GOP the party most inimical to liberty in America. When you combine torture's evil with the claims of the hard right that a president can ignore all laws and all treaties in wartime, and that ""wartime"" is now permanent, you have laid the ground for the abolition of the American experiment in self-government.",Andrew Sullivan,Conservatives
"It is not an opinion that ""enhanced interrogation techniques"" are torture. It is a legal fact. And it is also a legal fact that the president is a war criminal.",Andrew Sullivan,Conservatives
"What al Qaeda and Saddam Hussein did was an extreme form of sadistic torture, the kind that psychopaths enjoy and inflict. But that does not make, say, freezing someone to near-death, reviving him, re-freezing him again any less torture. Yes, we did that, carefully monitored by Rumsfeld. It does not make the Khmer Rouge waterboarding technique any less torture. It does not make contorting a prisoner into an excruciating stress position and then smashing his head against the wall any less torture. We should not forget that there have been more than a hundred deaths in U.S.-run torture chambers under George W. Bush either.So I really don't get the point. Unless it is the following: If we are not as evil as al Qaeda, we are not torturing. This is logically and legally and morally a complete non-sequitur. And it is truly mind-boggling to believe that the arbiters of our moral compass are now the men who murdered 3000 innocents on 9/11. I don't know about you, but that's not the standard against which I believe America should judge herself. Or ever, ever has.",Andrew Sullivan,Conservatives
