Quotes,Author,Political Orientation
"There is no moral argument that justifies using the coercive powers of government to force one person to bear the expense of taking care of another. If that person is too resolute in his refusal to do so, what is the case for imposing fines, imprisonment or death? You say, ""Death! Aren't you exaggerating, Williams?"" Say he tells the agents of Congress that he'll pay his share of the constitutionally mandated functions of government but refuse to pay the health costs of a sick obese person or a cyclist who becomes a vegetable, what do you think the likely course of events will be? First, he'd be threatened with fines, imprisonment or property confiscation. Refusal to give in to these government sanctions would ultimately lead to his being shot by the agents of Congress.",Walter E. Williams,Conservatives
"If FDA officials err on the side of under-caution in approving an unsafe drug, they are attacked by the media and patient groups, and investigated by Congress. Their victims, sick and dead people, are highly visible. If FDA officials err on the side of over-caution, keeping a safe and effective drug off the market, who's to know? The victims are invisible. For example, neither the Americans who get sick or die from meningitis C this year, nor their loved ones, will know that their illness or death could have been prevented had it not been for errors by FDA officials. It's a no-brainer to figure out which error FDA officials prefer to make.",Walter E. Williams,Conservatives
"In 302, the Roman emperor Diocletian commanded ""there should be cheapness,"" declaring, ""Unprincipled greed appears wherever our armies … march. … Our law shall fix a measure and a limit to this greed."" The predictable result of Diocletian's food price controls were black markets, hunger and food confiscation by his soldiers. Despite the disastrous history of price controls, politicians never manage to resist tampering with prices -- that's not a flattering observation of their learning abilities.",Walter E. Williams,Conservatives
"I personally believe that economics is fun and valuable. People who say they found it a nightmare in college just didn't have a good teacher-professor. I became a good teacher-professor as a result of tenacious mentors during my graduate study at UCLA. Professor Armen Alchian, a very distinguished economist, used to give me a hard time in class. But one day, we were having a friendly chat during our department's weekly faculty/graduate student coffee hour, and he said, ""Williams, the true test of whether someone understands his subject is whether he can explain it to someone who doesn't know a darn thing about it."" That's a challenge I love: making economics fun and understandable.",Walter E. Williams,Conservatives
"We're all grossly ignorant about most things that we use and encounter in our daily lives, but each of us is knowledgeable about tiny, relatively inconsequential things. For example, a baker might be the best baker in town, but he's grossly ignorant about virtually all the inputs that allow him to be the best baker. What is he likely to know about what goes into the processing of the natural gas that fuels his oven? For that matter, what does he know about oven manufacture? Then, there are all the ingredients he uses -- flour, sugar, yeast, vanilla and milk. Is he likely to know how to grow wheat and sugar and how to protect the crop from diseases and pests? What is he likely to know about vanilla extraction and yeast production? Just as important is the question of how all the people who produce and deliver all these items know what he needs and when he needs them. There are literally millions of people cooperating with one another to ensure that the baker has all the necessary inputs. It's the miracle of the market and prices that gets the job done so efficiently. What's called the market is simply a collection of millions upon millions of independent decision makers not only in America but around the world. Who or what coordinates the activities all of these people? Rest assuredly it's not a bakery czar.",Walter E. Williams,Conservatives
"At the beginning of each semester, I tell students that my economic theory course will deal with positive, non-normative economic theory. I also tell them that if they hear me making a normative statement without first saying, ""In my opinion,"" they are to raise their hands and say, ""Professor Williams, we didn't take this class to be indoctrinated with your personal opinions passed off as economic theory; that's academic dishonesty."" I also tell them that as soon as they hear me say, ""In my opinion,"" they can stop taking notes because my opinion is irrelevant to the subject of the class -- economic theory. Another part of this particular lecture to my students is that by no means do I suggest that they purge their vocabulary of normative or subjective statements. Such statements are useful tools for tricking people into doing what you want them to do. You tell your father that you need a cell phone and he should buy you one. There's no evidence whatsoever that you need a cell phone. After all, George Washington managed to lead our nation to defeat Great Britain, the mightiest nation on Earth at the time, without owning a cell phone.",Walter E. Williams,Conservatives
"""You can never be too safe."" Yes, you can. How many of us bother to inspect the hydraulic brake lines in our cars before we start the engine and head off to work? Doing so would be safer than simply assuming that the lines were intact and driving off. After all, prior to launching a space vehicle, the people at NASA make no similar assumptions. They go through a countdown of all systems, taking nothing for granted. Erring on the side of over-caution is costly, and so is erring on the side of under-caution, though for a given choice, one might be costlier than the other.",Walter E. Williams,Conservatives
"There are several methods of conflict resolution. First, there's the market mechanism -- let the highest bidder be the one who owns and decides how the land will be used. Then, there's government fiat, where the government dictates who gets to use the land for what purpose. Gifts might be the way where an owner arbitrarily chooses a recipient. Finally, violence is a way to resolve the question of who has the use rights to the coastline -- let people get weapons and physically fight it out. At this juncture, some might piously say, ""Violence is no way to resolve conflict!"" The heck it isn't. The decision of who had the right to use most of the Earth's surface was settled through violence (wars). Who has the right to the income I earn is partially settled through the threats of violence. In fact, violence is such an effective means of resolving conflict that most governments want a monopoly on its use.",Walter E. Williams,Conservatives
"there's the claim that this or that price is unreasonable. I used to have conversations about this claim with Mrs. Williams early on in our 44-year marriage. She'd return from shopping complaining that stores were charging unreasonable prices. Having aired her complaints, she'd ask me to go out and unload a car trunk loaded with groceries and other items. Having completed the chore, I'd resume our conversation, saying, ""Honey, I thought you said the prices were unreasonable. Are you an unreasonable person? Only an unreasonable person would pay unreasonable prices."" The long and short of it is that the conversation never went over well, and we both ceased discussions of reasonable or unreasonable prices. The point is that whatever price a transaction is transacted at represents a meeting of the mind of both buyer and seller. Both viewed themselves as being better off than the next alternative -- not making the transaction. That's not to say that the seller wouldn't have found a higher price more pleasing or the buyer wouldn't have been pleased with a lower price.",Walter E. Williams,Conservatives
"""It's wrong to profit from the misfortune of others."" I ask my students whether they'd support a law against doing so. But I caution them with some examples. An orthopedist profits from your misfortune of having broken your leg skiing. When there's news of a pending ice storm, I doubt whether it saddens the hearts of those in the collision repair business. I also tell my students that I profit from their misfortune — their ignorance of economic theory.",Walter E. Williams,Conservatives
