,Author,Quotes,Political Orientation,auto,texicity,rep
0,William F. Buckley Jr.,I won't insult your intelligence by suggesting that you really believe what you just said.,Conservative,0,insult intelligence suggesting really believe said,1
1,William F. Buckley Jr.,I would rather be governed by the first 2000 people in the Manhattan phone book than the entire faculty of Harvard.,Conservative,0,would rather governed first  people manhattan phone book entire faculty harvard,1
2,William F. Buckley Jr.,Life can't be all bad when for ten dollars you can buy all the Beethoven sonatas and listen to them for ten years.,Conservative,0,life bad ten dollars buy beethoven sonatas listen ten years,1
4,William F. Buckley Jr.,I would like to take you seriously but to do so would affront your intelligence.,Conservative,0,would like take seriously would affront intelligence,2
5,William F. Buckley Jr.,Back in the thirties we were told we must collectivize the nation because the people were so poor. Now we are told we must collectivize the nation because the people are so rich.,Conservative,0,back thirties told must collectivize nation people poor told must collectivize nation people rich,1
6,William F. Buckley Jr.,"The academic community has in it the biggest concentration of alarmists, cranks and extremists this side of the giggle house.",Conservative,0,academic community biggest concentration alarmists cranks extremists side giggle house,1
7,William F. Buckley Jr.,"Truth is a demure lady, much too ladylike to knock you on your head and drag you to her cave. She is there, but people must want her, and seek her out.",Conservative,0,truth demure lady much ladylike knock head drag cave people must want seek,1
8,William F. Buckley Jr.,The best defense against usurpatory government is an assertive citizenry.,Conservative,0,best defense usurpatory government assertive citizenry,1
9,William F. Buckley Jr.,There is an inverse relationship between reliance on the state and self-reliance.,Conservative,0,inverse relationship reliance state self reliance,1
10,William F. Buckley Jr.,I had much more fun criticizing than praising.,Conservative,0,much fun criticizing praising,1
11,William F. Buckley Jr.,"The obvious differences apart, Karl Marx was no more a reliable prophet than was the Reverend Jim Jones. Karl Marx was a genius, an uncannily resourceful manipulator of world history who shoved everything he knew, thought, and devised into a Ouija board from whose movements he decocted universal laws. He had his following, during the late phases of the Industrial Revolution. But he was discredited by historical experience longer ago than the Wizard of Oz: and still, great grown people sit around, declare themselves to be Marxists, and make excuses for Gulag and Afghanistan.",Conservative,0,obvious differences apart karl marx reliable prophet reverend jim jones karl marx genius uncannily resourceful manipulator world history shoved everything knew thought devised ouija board whose movements decocted universal laws following late phases industrial revolution discredited historical experience longer ago wizard oz still great grown people sit around declare marxists make excuses gulag afghanistan,1
12,William F. Buckley Jr.,Industry is the enemy of melancholy,Conservative,0,industry enemy melancholy,1
13,William F. Buckley Jr.,Conservatives should be adamant about the need for the reappearance of Judeo-Christianity in the public square.,Conservative,0,conservatives adamant need reappearance judeo christianity public square,1
14,William F. Buckley Jr.,"The more complicated and powerful the job, the more rudimentary the preparation for it.",Conservative,0,complicated powerful job rudimentary preparation,1
16,William F. Buckley Jr.,I profoundly believe it takes a lot of practice to become a moral slob.,Conservative,0,profoundly believe takes lot practice become moral slob,1
17,William F. Buckley Jr.,I catch fire and find the reserves of courage and assertiveness to speak up. When that happens I get quite carried away. My blood gets hot my brow wet I become unbearably and unconscionably sarcastic and bellicose I am girded for a total showdown.,Conservative,0,catch fire find reserves courage assertiveness speak happens get quite carried away blood gets hot brow wet become unbearably unconscionably sarcastic bellicose girded total showdown,1
18,William F. Buckley Jr.,"[D]emocracy can itself be as tyrannical as a dictatorship, since it is the extent, not the source, of government power that impinges on freedom.-William F Buckley",Conservative,0,emocracy tyrannical dictatorship since extent source government power impinges freedom william f buckley,1
19,William F. Buckley Jr.,"Halfway through the second term of Franklin Roosevelt, the New Deal braintrusters began to worry about mounting popular concern over the national debt. In those days the size of the national debt was on everyone’s mind. Indeed, Franklin Roosevelt had talked himself into office, in 1932, in part by promising to hack away at a debt which, even under the frugal Mr. Hoover, the people tended to think of as grown to menacing size. Mr. Roosevelt’s wisemen worried deeply about the mounting tension ...And then, suddenly, the academic community came to the rescue. Economists across the length and breadth of the land were electrified by a theory of debt introduced in England by John Maynard Keynes. The politicians wrung their hands in gratitude. Depicting the intoxicating political consequences of Lord Keynes’s discovery, the wry cartoonist of the Washington Times Herald drew a memorable picture. In the center, sitting on a throne in front of a Maypole, was a jubilant FDR, cigarette tilted almost vertically, a grin on his face that stretched from ear to ear. Dancing about him in a circle, hands clasped together, their faces glowing with ecstasy, the braintrusters, vested in academic robes, sang the magical incantation, the great discovery of Lord Keynes: We owe it to ourselves. With five talismanic words, the planners had disposed of the problem of deficit spending. Anyone thenceforward who worried about an increase in the national debt was just plain ignorant of the central insight of modern economics: What do we care how much we - the government - owe so long as we owe it to ourselves? On with the spending. Tax and tax, spend and spend, elect and elect ...",Conservative,0,halfway second term franklin roosevelt new deal braintrusters began worry mounting popular concern national debt days size national debt everyone mind indeed franklin roosevelt talked office  part promising hack away debt even frugal mr hoover people tended think grown menacing size mr roosevelt wisemen worried deeply mounting tension suddenly academic community came rescue economists across length breadth land electrified theory debt introduced england john maynard keynes politicians wrung hands gratitude depicting intoxicating political consequences lord keynes discovery wry cartoonist washington times herald drew memorable picture center sitting throne front maypole jubilant fdr cigarette tilted almost vertically grin face stretched ear ear dancing circle hands clasped together faces glowing ecstasy braintrusters vested academic robes sang magical incantation great discovery lord keynes owe five talismanic words planners disposed problem deficit spending anyone thenceforward worried increase national debt plain ignorant central insight modern economics care much government owe long owe spending tax tax spend spend elect elect,1
20,William F. Buckley Jr.,"The loneliness of flight is not entirely overwhelmed by cabin movies, the drinks, the Gemütlichkeit of shoulder-to-shoulder life.",Conservative,0,loneliness flight entirely overwhelmed cabin movies drinks gemutlichkeit shoulder shoulder life,1
21,William F. Buckley Jr.,Modern formulations are necessary even in defense of very ancient truths. Not because of any alleged anachronism in the old ideas – the Beatitudes remain the essential statements of the Western code – but because the idiom of life is always changing,Conservative,0,modern formulations necessary even defense ancient truths alleged anachronism old ideas beatitudes remain essential statements western code idiom life always changing,1
22,William F. Buckley Jr.,"For people who like that sort of thing, that's the sort of thing they like.",Conservative,0,people like sort thing sort thing like,1
23,William F. Buckley Jr.,What would happen if the Communists occupied the Sahara? Answer: Nothing,Conservative,0,would happen communists occupied sahara answer nothing,1
24,William F. Buckley Jr.,"We find that in the absence of demonstrable truth, the best we can do is to exercise the greatest diligence, humility, insight, intelligence, and industry in trying to arrive at the nearest values to truth. I hope, of course, to argue convincingly that having done this, we have an inescapable duty to seek to inculcate others with these values.",Conservative,0,find absence demonstrable truth best exercise greatest diligence humility insight intelligence industry trying arrive nearest values truth hope course argue convincingly done inescapable duty seek inculcate others values,1
25,William F. Buckley Jr.,"Pentagon ought to win the Nobel Peace Prize every year, because the U.S. military is the world’s foremost guarantor of peace",Conservative,0,pentagon ought win nobel peace prize every year u military world foremost guarantor peace,1
26,William F. Buckley Jr.,Conservatism aims to maintain in working order the loyalties of the community to perceived truths and also to those truths which in their judgment have earned universal recognition.,Conservative,0,conservatism aims maintain working order loyalties community perceived truths also truths judgment earned universal recognition,1
27,William F. Buckley Jr.,Liberals don’t care what you do so long as it’s compulsory.,Conservative,0,liberals care long compulsory,1
28,William F. Buckley Jr.,"Curiously, the failures of Communism are more often treated as a joke than as a tragedy.",Conservative,0,curiously failures communism often treated joke tragedy,1
