Author,Quotes,Political Orientation
William F. Buckley Jr.,I won't insult your intelligence by suggesting that you really believe what you just said.,Conservative
William F. Buckley Jr.,I would rather be governed by the first 2000 people in the Manhattan phone book than the entire faculty of Harvard.,Conservative
William F. Buckley Jr.,Life can't be all bad when for ten dollars you can buy all the Beethoven sonatas and listen to them for ten years.,Conservative
William F. Buckley Jr.,"Liberals, it has been said, are generous with other peoples' money, except when it comes to questions of national survival when they prefer to be generous with other peoples' freedom and security.",Conservative
William F. Buckley Jr.,I would like to take you seriously but to do so would affront your intelligence.,Conservative
William F. Buckley Jr.,Back in the thirties we were told we must collectivize the nation because the people were so poor. Now we are told we must collectivize the nation because the people are so rich.,Conservative
William F. Buckley Jr.,"The academic community has in it the biggest concentration of alarmists, cranks and extremists this side of the giggle house.",Conservative
William F. Buckley Jr.,"Truth is a demure lady, much too ladylike to knock you on your head and drag you to her cave. She is there, but people must want her, and seek her out.",Conservative
William F. Buckley Jr.,The best defense against usurpatory government is an assertive citizenry.,Conservative
William F. Buckley Jr.,There is an inverse relationship between reliance on the state and self-reliance.,Conservative
William F. Buckley Jr.,I had much more fun criticizing than praising.,Conservative
William F. Buckley Jr.,"The obvious differences apart, Karl Marx was no more a reliable prophet than was the Reverend Jim Jones. Karl Marx was a genius, an uncannily resourceful manipulator of world history who shoved everything he knew, thought, and devised into a Ouija board from whose movements he decocted universal laws. He had his following, during the late phases of the Industrial Revolution. But he was discredited by historical experience longer ago than the Wizard of Oz: and still, great grown people sit around, declare themselves to be Marxists, and make excuses for Gulag and Afghanistan.",Conservative
William F. Buckley Jr.,Industry is the enemy of melancholy,Conservative
William F. Buckley Jr.,Conservatives should be adamant about the need for the reappearance of Judeo-Christianity in the public square.,Conservative
William F. Buckley Jr.,"The more complicated and powerful the job, the more rudimentary the preparation for it.",Conservative
William F. Buckley Jr.,I would sooner be governed by the first two thousand names in the Boston telephone directory than by the two thousand members of the faculty of Harvard.,Conservative
William F. Buckley Jr.,I profoundly believe it takes a lot of practice to become a moral slob.,Conservative
William F. Buckley Jr.,I catch fire and find the reserves of courage and assertiveness to speak up. When that happens I get quite carried away. My blood gets hot my brow wet I become unbearably and unconscionably sarcastic and bellicose I am girded for a total showdown.,Conservative
William F. Buckley Jr.,"[D]emocracy can itself be as tyrannical as a dictatorship, since it is the extent, not the source, of government power that impinges on freedom.-William F Buckley",Conservative
William F. Buckley Jr.,"Halfway through the second term of Franklin Roosevelt, the New Deal braintrusters began to worry about mounting popular concern over the national debt. In those days the size of the national debt was on everyone’s mind. Indeed, Franklin Roosevelt had talked himself into office, in 1932, in part by promising to hack away at a debt which, even under the frugal Mr. Hoover, the people tended to think of as grown to menacing size. Mr. Roosevelt’s wisemen worried deeply about the mounting tension ...And then, suddenly, the academic community came to the rescue. Economists across the length and breadth of the land were electrified by a theory of debt introduced in England by John Maynard Keynes. The politicians wrung their hands in gratitude. Depicting the intoxicating political consequences of Lord Keynes’s discovery, the wry cartoonist of the Washington Times Herald drew a memorable picture. In the center, sitting on a throne in front of a Maypole, was a jubilant FDR, cigarette tilted almost vertically, a grin on his face that stretched from ear to ear. Dancing about him in a circle, hands clasped together, their faces glowing with ecstasy, the braintrusters, vested in academic robes, sang the magical incantation, the great discovery of Lord Keynes: We owe it to ourselves. With five talismanic words, the planners had disposed of the problem of deficit spending. Anyone thenceforward who worried about an increase in the national debt was just plain ignorant of the central insight of modern economics: What do we care how much we - the government - owe so long as we owe it to ourselves? On with the spending. Tax and tax, spend and spend, elect and elect ...",Conservative
William F. Buckley Jr.,"The loneliness of flight is not entirely overwhelmed by cabin movies, the drinks, the Gemütlichkeit of shoulder-to-shoulder life.",Conservative
William F. Buckley Jr.,Modern formulations are necessary even in defense of very ancient truths. Not because of any alleged anachronism in the old ideas – the Beatitudes remain the essential statements of the Western code – but because the idiom of life is always changing,Conservative
William F. Buckley Jr.,"For people who like that sort of thing, that's the sort of thing they like.",Conservative
William F. Buckley Jr.,What would happen if the Communists occupied the Sahara? Answer: Nothing,Conservative
William F. Buckley Jr.,"We find that in the absence of demonstrable truth, the best we can do is to exercise the greatest diligence, humility, insight, intelligence, and industry in trying to arrive at the nearest values to truth. I hope, of course, to argue convincingly that having done this, we have an inescapable duty to seek to inculcate others with these values.",Conservative
William F. Buckley Jr.,"Pentagon ought to win the Nobel Peace Prize every year, because the U.S. military is the world’s foremost guarantor of peace",Conservative
William F. Buckley Jr.,Conservatism aims to maintain in working order the loyalties of the community to perceived truths and also to those truths which in their judgment have earned universal recognition.,Conservative
William F. Buckley Jr.,Liberals don’t care what you do so long as it’s compulsory.,Conservative
William F. Buckley Jr.,"Curiously, the failures of Communism are more often treated as a joke than as a tragedy.",Conservative
William F. Buckley Jr.,"The individualist insists that drastic depressions are the result of credit inflation; (not excessive savings, as the Keynesians would have it) which at all times in history has been caused by direct government action or by government influence. As for aggravated unemployment, the individualist insists that it is exclusively the result of government intervention through inflation, wage rigidities, burdensome taxes, and restrictions on trade and production such as price controls and tariffs. The inflation that comes inevitably with government pump-priming soon catches up with the laborer, wipes away any real increase in his wages, discourages private investment, and sets off a new deflationary spiral which can in turn only be counteracted by more coercive and paternalistic government policies. And so it is that the long run is very soon a-coming, and the harmful effects of government intervention are far more durable than those that are sustained by encouraging the unhampered free market to work out its own destiny.",Conservative
William F. Buckley Jr.,"...my beloved Eudosia [a member of Buckley's household staff], who is Cuban, very large, quite old, and altogether superstitious, and speaks only a word or two of English (even though she has been with us for 19 years), is quite certain that the gentleman who raped the 16-year-old girl in New Caanan three years ago and escaped has successfully eluded the police only because of his resourceful determination to ravage Eudosia before he dies. Accordingly she demanded, and I gave her, a shotgun, into which I have inserted two empty shells. Still, Eudosia with blank cartridges is more formidable than Eugene McCarthy with The Bomb.",Conservative
William F. Buckley Jr.,"The problem with the illiberal left is that it believes a progressive take on issues is an objective take, and cannot conceive that there are other legitimate points of view. As William F. Buckley Jr. once quipped, a liberal is someone who claims to be open to all points of view",Conservative
William F. Buckley Jr.,"[Professor Greene's] reaction to GAMAY, as published in the Yale Daily News, fairly took one's breath away. He fondled the word fascist as though he had come up with a Dead Sea Scroll vouchsafing the key word to the understanding of God and Man at Yale. In a few sentences he used the term thrice. Mr. Buckley has done Yale a great service (how I would tire of this pedestrian rhetorical device), and he may well do the cause of liberal education in America an even greater service, by stating the fascist alternative to liberalism. This fascist thesis . . . This . . . pure fascism . . . What more could Hitler, Mussolini, or Stalin ask for . . . ? (They asked for, and got, a great deal more.)What survives, from such stuff as this, is ne-plus-ultra relativism, idiot nihlism. What is required, Professor Greene spoke, is more, not less tolerance--not the tolerance of indifference, but the tolerance of honest respect for divergent convictions and the determination of all that such divergent opinions be heard without administrative censorship. I try my best in the classroom to expound and defend my faith, when it is relevant, as honestly and persuasively as I can. But I can do so only because many of my colleagues are expounding and defending their contrasting faiths, or skepticisms, as openly and honestly as I am mine.A professor of philosophy! Question: What is the 1) ethical, 2) philosophical, or 3) epistemological argument for requiring continued tolerance of ideas whose discrediting it is the purpose of education to effect? What ethical code (in the Bible? in Plato? Kant? Hume?) requires honest respect for any divergent conviction?",Conservative
William F. Buckley Jr.,How can one deduce the cause of Hamlet or Saint Matthew's Passion? What is the cause of inspiration? ,Conservative
William F. Buckley Jr.,National Review will support the rightwardmost viable candidate.,Conservative
