Quotes,Author,Political Orientation
"There is a growing global anti-establishment revolt against the permanent political class at home, and the global elites that influence them, which impacts everyone from Lubbock, Tex., to London, England...We look at London and Texas as two fronts in our current cultural and political war.",Steve Bannon,Right
We should just go buck wild...Let the grassroots turn on the hate because that’s the ONLY thing that will make them do their duty.,Steve Bannon,Right
"We don’t like to try to guess what’s going to happen in the future, but I’ve got to tell you, I think people were very engaged in this election, and I think will be very engaged as time goes forward. The key is to hold people accountable. The hobbits, or the deplorables, had a great run in ’16. Everybody mocked them and ridiculed them, and now they’ve spoken. I think ’17 is going to be a very exciting year,",Steve Bannon,Right
"The media should be embarrassed and humiliated and keep its mouth shut and just listen for a while...I want you to quote this, the media here is the opposition party. They don't understand this country. They still do not understand why Donald Trump is the president of the United States... The elite media got it dead wrong, 100 percent dead wrong. [The 2016 election was] a humiliating defeat that they will never wash away, that will always be there...You’re the opposition party. Not the Democratic Party. You’re the opposition party. The media’s the opposition party.",Steve Bannon,Right
"[Re Spicer loss of credibility] Are you kidding me? We think that's a badge of honor. 'Questioning his integrity' are you kidding me? The media has zero integrity, zero intelligence, and no hard work.",Steve Bannon,Right
"We call ourselves ‘the Fight Club.’ You don’t come to us for warm and fuzzy. We think of ourselves as virulently anti-establishment, particularly ‘anti-’ the permanent political class. We say Paul Ryan was grown in a petri dish at the Heritage Foundation. We hire people who are freaks. They don’t have social lives. They’re junkies about news and information.",Steve Bannon,Right
"When two-thirds or three-quarters of the C.E.O.s in Silicon Valley are from South Asia or from Asia, I think . . . A country is more than an economy. We’re a civic society.",Steve Bannon,Right
"And we’re at the very beginning stages of a very brutal and bloody conflict, of which if the people in this room, the people in the church, do not bind together and really form what I feel is an aspect of the church militant, to really be able to not just stand with our beliefs, but to fight for our beliefs against this new barbarity that’s starting, that will completely eradicate everything that we’ve been bequeathed over the last 2,000, 2,500 years. ... Now that call converges with something we have to face, and it’s a very unpleasant topic, but we are in an outright war against jihadist Islamic fascism. And this war is, I think, metastasizing far quicker than governments can handle it.",Steve Bannon,Right
"Until we have the black working class and the Hispanic working class getting high-value-added jobs, we've failed as a society. To me: citizens first. And we don't need a million immigrants in this country. Particularly, we don't need a million immigrants that don't come with a real set of skills.",Steve Bannon,Right
"If Bernie Sanders had an ounce of [Michael] Avenatti’s fearlessness, he would’ve been the Democratic nominee, and we would have had a much tougher time beating him. Now, I don’t believe a professional politician is going to be there at the end of the day. I’ve always said it’s going to be someone like Oprah, or Avenatti, or somebody that’s more media-savvy that’s going to be there.",Steve Bannon,Right
