Quotes,Author,Political Orientation
"Though Hitler was indeed racist and anti-Semitic to the core, a man who without compunction could commit murder and genocide, he was also an individual of great courage, a soldier's soldier in the Great War, a political organizer of the first rank, a leader steeped in the history of Europe, who possessed oratorical powers that could awe even those who despised him... Hitler's success was not based on his extraordinary gifts alone. His genius was an intuitive sense of the mushiness, the character flaws, the weakness masquerading as morality that was in the hearts of the statesmen who stood in his path.",Pat Buchanan,Right
There is nothing wrong with us sitting down and arguing that issue that we are a European country.,Pat Buchanan,Right
"The War Between the States was about independence, about self-determination, about the right of a people to break free of a government to which they could no longer give allegiance... How long is this endless groveling before every cry of 'racism' going to continue before the whole country collectively throws up?",Pat Buchanan,Right
"As you may have heard in my last campaign, I am called by many names. “Protectionist” is one of the nicer ones; but it is inexact. I am an economic nationalist. To me, the country comes before the economy; and the economy exists for the people. I believe in free markets, but I do not worship them. In the proper hierarchy of things, it is the market that must be harnessed to work for man – and not the other way around.",Pat Buchanan,Right
"I have family roots in the South, in Mississippi. When the Civil War came, Cyrus Baldwin enlisted and did not survive Vicksburg. William Buchanan of Okolona, who would marry Baldwin’s daughter, fought at Atlanta and was captured by General Sherman. William Baldwin Buchanan was the name given to my father and by him to my late brother... As a member of the Sons of Confederate Veterans, I have been to their gatherings. I spoke at the 2001 SCV convention in Lafayette, LA. The Military Order of the Stars and Bars presented me with a battle flag and a wooden canteen like the ones my ancestors carried.",Pat Buchanan,Right
"To its neocon architects, Iraq was always about empire, hegemony, Pax Americana, global democracy – about getting hold of America’s power to make the Middle East safe for Sharon and themselves glorious and famous.",Pat Buchanan,Right
"Listen up, me name be Buchanan, me knows enough things bout politics. Get involved, mack daddies. Y'all better realize, that nothing be a better way to get your kicks. West side, aight?",Pat Buchanan,Right
"If Americans are the most efficient workers on earth and work longer hours than almost any other advanced nation, why are we getting our clocks cleaned? Answer: While American workers are world-class, our elites are mentally challenged. So rhapsodic are they about the Global Economy they have forgotten their own country. Europeans, Japanese, Canadians and Chinese sell us so much more than they buy from us because they have rigged the rules of world trade.",Pat Buchanan,Right
"Israeli and U.S. interests often run parallel, but they are not the same. Israel is concerned with a neighborhood. We are concerned with a world of 300 million Arabs and a billion Muslims. Our policies cannot be the same. If they are, we will end up with all of Israel’s enemies, who are legion, and only Israel’s friends, who are few.",Pat Buchanan,Right
"Though blacks are outnumbered 5-to-1 in the population by whites, they commit eight times as many crimes against whites as the reverse. By those 2007 numbers, a black male was 40 times as likely to assault a white person as the reverse. If interracial crime is the ugliest manifestation of racism, what does this tell us about where racism really resides — in America?",Pat Buchanan,Right
"Like materialism, consumerism and socialism, transnationalism suffers from the same fatal flaw. It feeds the body and starves the soul. And eventually bored people hear the old calls again.",Pat Buchanan,Right
"Americans are already deep in a culture war over morality—marijuana, abortion, same-sex marriage. We are already racially polarized over affirmative action and income inequality. And when we have ceased to be an English-speaking, Christian country and become instead an Asian-Hispanic-African-American-white nation, with large Jewish, Christian, Muslim, Hindu, Buddhist, agnostic and atheist minorities, and no defined borders, or common faith and culture, what holds us together?",Pat Buchanan,Right
"Today, no great Western nation has a birthrate that will prevent the extinction of its native-born. By century's end, other peoples and other cultures will have largely repopulated the Old Continent. European Man seems destined to end like the 10 lost tribes of Israel—overrun, assimilated and disappeared.",Pat Buchanan,Right
"Given the shrinking populations inside Europe and the waves of immigrants rolling in from Africa and the Middle and Near East, an Islamic Europe seems to be in the cards before the end of the century.",Pat Buchanan,Right
"Military intervention for reasons of ideology or nation building is not an Eisenhower or Nixon or Reagan tradition. It is not a Republican tradition. It is a Bush II-neocon deformity, an aberration that proved disastrous for the United States and the Middle East.",Pat Buchanan,Right
"What is the moral argument for an affirmative action that justifies unending race discrimination against a declining white working class, who have become the expendables of our multicultural regime?",Pat Buchanan,Right
"“Angry white male” is now an acceptable slur in culture and politics. So it is that people of that derided ethnicity, race, and gender see in Donald Trump someone who unapologetically berates and mocks the elites who have dispossessed them, and who despise them. Is it any surprise that militant anti-government groups attract white males? Is it so surprising that the Donald today, like Jess Willard a century ago, is seen by millions as “The Great White Hope”?",Pat Buchanan,Right
"The 1960s and early 1970s were a time of social revolution in America, and President Nixon, by ending the draft and ending the Vietnam war, presided over what one columnist called the “cooling of America.” But if Hillary Clinton takes power, and continues America on her present course, which a majority of Americans rejected in the primaries, there is going to a bad moon rising.",Pat Buchanan,Right
"What America has in Hillary Clinton is a potential president with the charisma but not the competence of Angela Merkel, and the ethics of Dilma Rousseff.",Pat Buchanan,Right
"... the folks Obama and Clinton detest, disparage, and pity are the white working- and middle-class folks Richard Nixon celebrated as Middle Americans and the Silent Majority. They are the folks who brought America through the Depression, won World War II, and carried us through the Cold War from Truman in 1945 to victory with Ronald Reagan in 1989. These are the Trump supporters. They reside mostly in red states like West Virginia, Kentucky and Middle Pennsylvania, and Southern, Plains and Mountain states that have provided a disproportionate share of the soldiers, sailors, airmen and Marines who fought and died to guarantee the freedom of plutocratic LGBT lovers to laugh at and mock them at $2,400-a-plate dinners.",Pat Buchanan,Right
America’s media seem utterly lacking in introspection. Do they understand why so many people hate them so? Do they care? Are they so smugly self-righteous and self-regarding they cannot see?,Pat Buchanan,Right
"Trump did not create the forces that propelled his candidacy. But he recognized them, tapped into them, and unleashed a gusher of nationalism and populism that will not soon dissipate.",Pat Buchanan,Right
"Middle America believes the establishment is not looking out for the nation but for retention of its power. And in attacking Trump it is not upholding some objective moral standard but seeking to destroy a leader who represents a grave threat to that power. Trump’s followers see an American Spring as crucial, and they are not going to let past boorish behavior cause them to abandon the last best chance to preserve the country they grew up in.",Pat Buchanan,Right
"In 1960, only sixteen million Americans did not trace their ancestors to Europe. Today, the number is eighty million. No nation has ever undergone so rapid and radical a transformation.",Pat Buchanan,Right
"Uncontrolled immigration threatens to deconstruct the nation we grew up in and convert America into a conglomeration of peoples with almost nothing in common — not history, heroes, language, culture, faith, or ancestors. Balkanization beckons.",Pat Buchanan,Right
"In half a lifetime, many Americans have seen their God dethroned, their heroes defiled, their culture polluted, their values assaulted, their country invaded, and themselves demonized as extremists and bigots for holding on to beliefs Americans have held for generations.",Pat Buchanan,Right
"What was right and true yesterday is wrong and false today. What was immoral and shameful — promiscuity, abortion, euthanasia, suicide — has become progressive and praiseworthy. Nietzsche called it the transvaluation of all values; the old virtues become sins, and the old sins become virtues.",Pat Buchanan,Right
"The West is dying. Its nations have ceased to reproduce, and their populations have stopped growing and begun to shrink. Not since the Black Death carried off a third of Europe in the fourteenth century has there been a graver threat to the survival of Western civilization.",Pat Buchanan,Right
"This struggle to preserve the old creeds, cultures, and countries of the West is the new divide between Left and Right; this struggle will define what it means to be a conservative. This is the cause of the twenty-first century and the agenda of conservatism for the remainder of our lives.",Pat Buchanan,Right
"Why do predictions of the Death of the West not belong on the same shelf as the predictions of 'nuclear winter' and 'global warming'? Answer: the Death of the West is not a prediction of what is going to happen, it is a depiction of what is happening now.",Pat Buchanan,Right
"The new hedonism seems unable to give people a reason to go on living. Its earliest fruits appear to be poisonous. Will this new ""liberating"" culture that our young have so enthusiastically embraced prove the deadliest carcinogen of them all? And if the West is in the grip of a ""culture of death,"" as the pope contends and the statistics seem to show, is Western civilization about to follow Lenin's empire to the same inglorious end?",Pat Buchanan,Right
"For it is this cultural revolution that has led to just such a ""profound modification in the ideas"" of peoples. And those ideas have made Western elites apparently indifferent to the death of their civilization. They do not seem to care if the end of the West comes by depopulation, by a surrender of nationhood, or by drowning in waves of Third World immigration.",Pat Buchanan,Right
"The prognosis is grim. Between 2000 and 2050, world population will grow by more than three billion to over nine billion people, but this 50 percent increase in global population will come entirely in Asia, Africa, and Latin America, as one hundred million people of European stock vanish from the earth.",Pat Buchanan,Right
There is no conservative party left in Washington. Conservative thinkers and writers who were to be the watchdogs of orthodoxy have been as vigilant in policing party deviations from principle as was Cardinal Law in collaring the predator-priests of the Boston archdiocese.,Pat Buchanan,Right
The Beltway Right has entered into a civil union with Big Brother.,Pat Buchanan,Right
"Under the rubric of conservatism, the Republican party of Bush I and II has been reinventing itself into what conservatives would have once recognized as a Rockefeller party reciting Reaganite rhetoric.",Pat Buchanan,Right
"A civil war is going to break out inside the Republican Party along the old trench lines of the Goldwater-Rockefeller wars of the 1960s, a war for the heart and soul and future of the party.",Pat Buchanan,Right
Neoconservatives are the boat people of the McGovern revolution.,Pat Buchanan,Right
Kristol's warning that neoconservatives could go to Kerry was an admission of what many have long recognized. The neoconservatives are not really conservatives at all. They are impostors and opportunists.,Pat Buchanan,Right
"Nine days after an attack on the United States, this tiny clique of intellectuals [Neocons] was telling the President of the United States...that if he did not follow their war plans, he would be charged publicly with a ""decisive surrender"" to terrorism.",Pat Buchanan,Right
"The Bush Doctrine is a prescription for permanent war for permanent peace, though wars are the death of republics.",Pat Buchanan,Right
The Bush National Security Strategy is the imperial edict of a superpower out to exploit its present supremacy to make itself permanent Lord Protector of the universe.,Pat Buchanan,Right
"The Bush Doctrine is democratic imperialism. This will bleed, bankrupt and isolate this republic. This overthrows the wisdom of the Founding Fathers about what America should be all about.",Pat Buchanan,Right
