Quotes,Author,Political Orientation
"Consistent with Martin Luther King's vision, the government should stop color-coding its citizens.",Dinesh D'Souza,Right
"Colonial possessions added to the prestige, and to a much lesser degree to the wealth, of Europe. But the primary cause of Western affluence and power is internal – the institutions of science, democracy, and capitalism acting in concert.",Dinesh D'Souza,Right
America is the most magnanimous of all imperial powers that have ever existed.,Dinesh D'Souza,Right
"Virtue has great power, but not if it is imposed – only when it is chosen.",Dinesh D'Souza,Right
"Atheism, not religion, is the real force behind the mass murders of history.",Dinesh D'Souza,Right
"I've been studying radical Islamic thought—specifically, the thinkers who have influenced contemporary radical Muslims. When you read their work, you find that there are no denunciations of modernity, no condemnations of science, no condemnations of freedom. In fact, their whole argument seems to be that the United States—through our support of secular dictators in the region—is denying Muslims freedom and control over their own destiny.",Dinesh D'Souza,Right
"If the televangelists are guilty of producing some simple-minded, self-righteous Christians, then the atheist authors are guilty of producing self-congratulatory buffoons like Condell.",Dinesh D'Souza,Right
"The ideas that define Western civilization, Nietzsche said, are based on Christianity. Because some of these ideas seem to have taken on a life of their own, we might have the illusion that we can abandon Christianity while retaining them. This illusion, Nietzsche warns us, is just that. Remove Christianity and the ideas fall too.",Dinesh D'Souza,Right
"Our President is trapped in his father's time machine. Incredibly, the U.S. is being ruled according to the dreams of a Luo tribesman of the 1950s. This philandering, inebriated African socialist, who raged against the world for denying him the realization of his anticolonial ambitions, is now setting the nation's agenda through the reincarnation of his dreams in his son. The son makes it happen, but he candidly admits he is only living out his father's dream. The invisible father provides the inspiration, and the son dutifully gets the job done. America today is governed by a ghost.",Dinesh D'Souza,Right
"The American Indians sold Manhattan to the Dutch for $700 in today's money. My point is, that's what Manhattan was worth then. It was useless, it was just a piece of land, like any other piece of land which you can buy today for $700 in many places in the world. Manhattan today is the result of the people who built it, not the original inhabitants who occupied or sold it.",Dinesh D'Souza,Right
