Quotes,Author,Political Orientation
"According to the pronouncements of our state rulers and their intellectual bodyguards (of whom there are more than ever before), we are better protected and more secure than ever. We are supposedly protected from global warming and cooling, from the extinction of animals and plants, from the abuses of husbands and wives, parents and employers, from poverty, disease, disaster, ignorance, prejudice, racism, sexism, homophobia, and countless other public enemies and dangers. In fact, however, matters are strikingly different. In order to provide us with all this protection, the state managers expropriate more than 40 percent of the incomes of private producers year in and year out. Government debt and liabilities have increased without interruption, thus increasing the need for future expropriations. Owing to the substitution of government paper money for gold, financial insecurity has increased sharply, and we are continually robbed through currency depreciation. Every detail of private life, property, trade, and contract is regulated by ever higher mountains of laws  legislation), thereby creating permanent legal uncertainty and moral hazard. In particular, we have been gradually stripped of the right to exclusion implied in the very concept of private property. … In short, the more the state has increased its expenditures on social security and public safety, the more our private property rights have been eroded, the more our property has been expropriated, confiscated, destroyed, or depreciated, and the more we have been deprived of the very foundation of all protection: economic independence, financial strength, and personal wealth.",Hans-Hermann Hoppe,Right
"If no one can appeal to justice except to government, justice will be perverted in favor of the government, constitutions and supreme courts notwithstanding. Constitutions and supreme courts are state constitutions and agencies, and whatever limitations to state action they might contain or find is invariably decided by agents of the very institution under consideration. Predictably, the definition of property and protection will continually be altered and the range of jurisdiction expanded to the government’s advantage until, ultimately, the notion of universal and immutable human rights – and in particular property rights – will disappear and be replaced by that of law as government-made legislation and rights as government-given grants.",Hans-Hermann Hoppe,Right
"We must promote the idea of secession. Or more specifically, we must promote the idea of a world composed of tens of thousands of distinct districts, regions, and cantons, and hundred of thousands of independent free cities such as the present day oddities of Monaco, Andorra, San Marino, Liechtenstein, Hong Kong, and Singapore. Greatly increased opportunities for economically motivated migration would thus result, and the world would be one of small [classically] liberal governments economically integrated through free trade and an international commodity money such as gold.",Hans-Hermann Hoppe,Right
Freiheit statt Demokratie!,Hans-Hermann Hoppe,Right
"The monopolization of money and banking is the ultimate pillar on which the modern state rests. In fact, it is probably become the most cherished instrument for increasing state income. For nowhere else can the state make the connection between redistribution-expenditure and exploitation-return more directly, quickly, and securely than by monopolizing money and banking. And nowhere else are the state's schemes less clearly understood than here.",Hans-Hermann Hoppe,Right
"History is ultimately determined by ideas, and ideas can, at least in principle, change almost instantly. But in order for ideas to change it is not sufficient for people to see that something is wrong. At least a significant number must also be intelligent enough to recognize what it is that is wrong. That is, they must understand the basic principles upon which society — human cooperation — rests … And they must have sufficient will power to act according to this insight.",Hans-Hermann Hoppe,Right
"In every society, a few individuals acquire the status of an elite through talent. Due to superior achievements of wealth, wisdom, and bravery, these individuals come to possess natural authority, and their opinions and judgments enjoy wide-spread respect. Moreover, because of selective mating, marriage, and the laws of civil and genetic inheritance, positions of natural authority are likely to be passed on within a few noble families. It is to the heads of these families with long-established records of superior achievement, farsightedness, and exemplary personal conduct that men turn to with their conflicts and complaints against each other. These leaders of the natural elite act as judges and peacemakers, often free of charge out of a sense of duty expected of a person of authority or out of concern for civil justice as a privately produced ""public good.""",Hans-Hermann Hoppe,Right
"Democracy has nothing to do with freedom. Democracy is a soft variant of communism, and rarely in the history of ideas has it been taken for anything else.",Hans-Hermann Hoppe,Right
"As soon as a crisis breaks out, within the given institutional framework, the same mistake will be made over and over again, on a larger and larger scale. Every future crisis will be bigger than the crisis that we had before.",Hans-Hermann Hoppe,Right
"Predictably, under democratic conditions the tendency of every monopoly - to increase prices and decrease quality - will be only more pronounced. Instead of a prince who regards the country as his private property, a temporary caretaker is put in charge of the country. He does not own the country, but as long as he is in office he is permitted to use it to his and his proteges’ advantage. He owns its current use - usufruct - but not its capital stock. This will not eliminate exploitation. To the contrary, it will make exploitation less calculating and carried out with little or no regard to the capital stock, i.e., short-sighted. Moreover, the perversion of justice will proceed even faster now. Instead of protecting pre-existing private property rights, democratic government becomes a machine for the redistribution of existing property rights in the name of illusory `social security.’",Hans-Hermann Hoppe,Right
