,Unnamed: 0,Author,Quotes,Political Orientation,auto,texicity,rep
0,0,Ben Shapiro,Facts don't care about your feelings.,Right,0,facts care feelings,2
1,2,Ben Shapiro,"Without a clear moral vision, we devolve into moral relativism, and from there, into oblivion.",Right,0,without clear moral vision devolve moral relativism oblivion,1
2,3,Ben Shapiro,There is no such thing as 'your truth'. There is the truth and your opinion.,Right,0,thing truth truth opinion,1
3,4,Ben Shapiro,"Tolerance fails as a virtue, first of all, because it is in some ways demeaning to people. It is much better to speak of respect or empathy. But that is precisely the problem",Right,0,tolerance fails virtue first ways demeaning people much better speak respect empathy precisely problem,1
4,5,Ben Shapiro,A man may be judged by his standard of entertainment as easily as by the standard of his work.,Right,0,man may judged standard entertainment easily standard work,1
5,6,Ben Shapiro,"Never in our country’s history has a generation been so empowered, so wealthy, so privileged",Right,0,never country history generation empowered wealthy privileged,1
7,9,Ben Shapiro,"And the leftist bullies use that nonconstitutional phrase as a baton with which to club their opponents into submission. Jefferson’s wall of separation between Church & State, a phrase from his 1802 letter to the Danbury Baptists, was meant not to prevent people from expressing religion in the public square but to prevent government from infringing on religious freedom.",Right,0,leftist bullies use nonconstitutional phrase baton club opponents submission jefferson wall separation church state phrase 1802 letter danbury baptists meant prevent people expressing religion public square prevent government infringing religious freedom,1
8,10,Ben Shapiro,is not right that children be dunked headfirst into the vat of garbage we call popular culture.,Right,0,right children dunked headfirst vat garbage call popular culture,1
9,11,Ben Shapiro,The left no longer makes arguments about policies’ effectiveness. Their only argument is character assassination.,Right,0,left longer makes arguments policies effectiveness argument character assassination,1
10,12,Ben Shapiro,"Nihilism, narcissism, and hedonism are natural results of the chaotic existential subjectivism popularized by the Left. If the hallmark of the baby boomers was rebellion, the hallmark of my generation is jadedness. Nothing really matters",Right,0,nihilism narcissism hedonism natural results chaotic existential subjectivism popularized left hallmark baby boomers rebellion hallmark generation jadedness nothing really matters,1
11,13,Ben Shapiro,"The race bullies win by relying on racial guilt. But collective racial guilt can only separate Americans. We are individuals, not homogenous members of racial subsets. Only when we learn to cherish the words of Martin Luther King, judging people as individuals, will we truly have the guts to stand up to the race bullies. After all, to paraphrase a man who once stood for unification rather than division, we're not black America or white America. We're the United States of America. We're brothers and sisters.If we don't begin to recognize that simple truth -- and recognize the inherent goodness of America, and our ability to look beyond skin color and ethnic heritage -- the race bullies will continue to tear American down for their own political gain, brick by brick.",Right,0,race bullies win relying racial guilt collective racial guilt separate americans individuals homogenous members racial subsets learn cherish words martin luther king judging people individuals truly guts stand race bullies paraphrase man stood unification rather division black america white america united states america brothers sisters begin recognize simple truth recognize inherent goodness america ability look beyond skin color ethnic heritage race bullies continue tear american political gain brick brick,1
12,14,Ben Shapiro,"No wonder the left seeks to avoid political debate at all costs. Why bother? Members of the left are not interested in having a debate about policy. They are not interested in debating what is right or wrong for the country. They are interested in debating you personally. They are interested in castigating you as a nasty human being because you happen to disagree. This is what makes leftists leftists: an unearned sense of moral superiority over you. And if they can instill that sense of moral superiority in others by making you the bad guy, they will.",Right,0,wonder left seeks avoid political debate costs bother members left interested debate policy interested debating right wrong country interested debating personally interested castigating nasty human happen disagree makes leftists leftists unearned sense moral superiority instill sense moral superiority others making bad guy,1
13,15,Ben Shapiro,"Okay, forget about the disrespect, facts don’t care about your feelings. It, turns out that every chromosome, every cell in Caitlyn Jenner’s body, is male, with the exception of some of his sperm cells. … It turns out that he still has all of his male appendages. How he feels on the inside is irrelevant to the question of his biological self.",Right,0,okay forget disrespect facts care feelings turns every chromosome every cell caitlyn jenner body male exception sperm cells turns still male appendages feels inside irrelevant question biological self,1
14,16,Ben Shapiro,"The Constitution designed the separation of church and state to prevent people from imposing their particular religions on others, not to stop people from allowing their religious beliefs to influence their views on public policy.",Right,0,constitution designed separation church state prevent people imposing particular religions others stop people allowing religious beliefs influence views public policy,1
15,17,Ben Shapiro,It’s far more common for leftists to routinely pick up weapons and try to kill those with whom they disagree than it is for those on the other side of the ideological spectrum.,Right,0,far common leftists routinely pick weapons try kill disagree side ideological spectrum,1
16,18,Ben Shapiro,The leftist philosophy of violence is simple: It’s good when it’s being used for leftist causes. It’s bad when it’s being used for any other purpose.,Right,0,leftist philosophy violence simple good used leftist causes bad used purpose,1
17,19,Ben Shapiro,"In place of moral absolutes, they promote moral relativism and sometimes even question the very existence of truth and reality. To them truth and reality are what we subjectively perceive them to be.",Right,0,place moral absolutes promote moral relativism sometimes even question existence truth reality truth reality subjectively perceive,1
18,240,Ben Shapiro,"The left is expert at framing debates. They have buzzwords they use to direct the debate toward unwinnable positions for you. They are tolerant, diverse, fighters for social justice; if you oppose them, by contrast, you are intolerant, xenophobic, and in favor of injustice. Now, all these terms are – to be polite – a crock, if considered as absolute moral values. The left is wildly intolerant of religious people and conservatives; that’s why they’re interested in forcing Christian bakers to cater to same-sex weddings. They are anti-intellectual diversity, particularly in areas of American life in which they predominate; that’s why they stifle conservatism on campus and in the media. And as for social justice, if social is supposed to be opposed to individual, then social justice is by definition unjust. The left’s use of magical buzzwords places you in a corner, against supposed universal values that aren’t universal or universally held.",Right,0,left expert framing debates buzzwords use direct debate toward unwinnable positions tolerant diverse fighters social justice oppose contrast intolerant xenophobic favor injustice terms polite crock considered absolute moral values left wildly intolerant religious people conservatives interested forcing christian bakers cater sex weddings anti intellectual diversity particularly areas american life predominate stifle conservatism campus media social justice social supposed opposed individual social justice definition unjust left use magical buzzwords places corner supposed universal values universal universally held,1
19,241,Ben Shapiro,"It is the left that uses the clubs of race and class to attack those on the right; it is the left that labels religious people and traditional values people rubes and simpletons,",Right,0,left uses clubs race class attack right left labels religious people traditional values people rubes simpletons,1
20,242,Ben Shapiro,"There will be no conversation in which you call me a racist, and I explain why I’m not a racist. That’s a conversation for idiots.",Right,0,conversation call racist explain racist conversation idiots,1
21,243,Ben Shapiro,"greatest films ever made originate largely in the 1930s, 1940s, 1950s, and early 1960s",Right,0,greatest films ever made originate largely 1930s 1940s 1950s early 1960s,1
22,244,Ben Shapiro,The combination of parental abdication and social liberalism in our schools means that kids are easy targets for nihilism and moral subjectivism.,Right,0,combination parental abdication social liberalism schools means kids easy targets nihilism moral subjectivism,1
23,245,Ben Shapiro,"All this was lies. It was nasty, baseless, and ridiculous",Right,0,lies nasty baseless ridiculous,1
24,246,Ben Shapiro,"Their latest label for religious people is American Taliban. The left loves it. It’s meant to denigrate Christians as potential threats to world peace (although the greatest threats of the last century, Nazism and communism, were both secular).",Right,0,latest label religious people american taliban left loves meant denigrate christians potential threats world peace although greatest threats last century nazism communism secular,1
