,Author,Quotes,Political Orientation
0,Ben Shapiro,Facts don't care about your feelings.,Right
2,Ben Shapiro,"Without a clear moral vision, we devolve into moral relativism, and from there, into oblivion.",Right
3,Ben Shapiro,There is no such thing as 'your truth'. There is the truth and your opinion.,Right
4,Ben Shapiro,"Tolerance fails as a virtue, first of all, because it is in some ways demeaning to people. It is much better to speak of respect or empathy. But that is precisely the problem",Right
5,Ben Shapiro,A man may be judged by his standard of entertainment as easily as by the standard of his work.,Right
6,Ben Shapiro,"Never in our country’s history has a generation been so empowered, so wealthy, so privileged",Right
8,Ben Shapiro,"Freedom of speech and thought matters, especially when it is speech and thought with which we disagree. The moment the majority decides to destroy people for engaging in thought it dislikes, thought crime becomes a reality.",Right
9,Ben Shapiro,"And the leftist bullies use that nonconstitutional phrase as a baton with which to club their opponents into submission. Jefferson’s wall of separation between Church & State, a phrase from his 1802 letter to the Danbury Baptists, was meant not to prevent people from expressing religion in the public square but to prevent government from infringing on religious freedom.",Right
10,Ben Shapiro,is not right that children be dunked headfirst into the vat of garbage we call popular culture.,Right
11,Ben Shapiro,The left no longer makes arguments about policies’ effectiveness. Their only argument is character assassination.,Right
12,Ben Shapiro,"Nihilism, narcissism, and hedonism are natural results of the chaotic existential subjectivism popularized by the Left. If the hallmark of the baby boomers was rebellion, the hallmark of my generation is jadedness. Nothing really matters",Right
13,Ben Shapiro,"The race bullies win by relying on racial guilt. But collective racial guilt can only separate Americans. We are individuals, not homogenous members of racial subsets. Only when we learn to cherish the words of Martin Luther King, judging people as individuals, will we truly have the guts to stand up to the race bullies. After all, to paraphrase a man who once stood for unification rather than division, we're not black America or white America. We're the United States of America. We're brothers and sisters.If we don't begin to recognize that simple truth -- and recognize the inherent goodness of America, and our ability to look beyond skin color and ethnic heritage -- the race bullies will continue to tear American down for their own political gain, brick by brick.",Right
14,Ben Shapiro,"No wonder the left seeks to avoid political debate at all costs. Why bother? Members of the left are not interested in having a debate about policy. They are not interested in debating what is right or wrong for the country. They are interested in debating you personally. They are interested in castigating you as a nasty human being because you happen to disagree. This is what makes leftists leftists: an unearned sense of moral superiority over you. And if they can instill that sense of moral superiority in others by making you the bad guy, they will.",Right
15,Ben Shapiro,"Okay, forget about the disrespect, facts don’t care about your feelings. It, turns out that every chromosome, every cell in Caitlyn Jenner’s body, is male, with the exception of some of his sperm cells. … It turns out that he still has all of his male appendages. How he feels on the inside is irrelevant to the question of his biological self.",Right
16,Ben Shapiro,"The Constitution designed the separation of church and state to prevent people from imposing their particular religions on others, not to stop people from allowing their religious beliefs to influence their views on public policy.",Right
17,Ben Shapiro,It’s far more common for leftists to routinely pick up weapons and try to kill those with whom they disagree than it is for those on the other side of the ideological spectrum.,Right
18,Ben Shapiro,The leftist philosophy of violence is simple: It’s good when it’s being used for leftist causes. It’s bad when it’s being used for any other purpose.,Right
19,Ben Shapiro,"In place of moral absolutes, they promote moral relativism and sometimes even question the very existence of truth and reality. To them truth and reality are what we subjectively perceive them to be.",Right
