Author,Political Orientation,Quotes
Yanis Varoufakis,Left,"Had history been democratic in its ways, there would have been no farming and no industrial revolution. Both leaps into the future were occasioned by unbearably painful crises that made most people wish they could recoil into the past."
Yanis Varoufakis,Left,"Most politicians cannot be theorists. First, because they are rarely thinkers; second, because the frenetic lifestyle they impose on themselves leaves no time for big ideas. But most of all because to be a theorist you have to admit the possibility of being wrong – the provisionality of knowledge – and you know you cannot spin your way out of a theoretical problem."
Yanis Varoufakis,Left,"Regular crises perpetuate the past by reinvigorating cycles which started long ago. In contrast, (capital-C) Crises are the past's death knell. They function like laboratories in which the future is incubated. They have given us agriculture and the industrial revolution, technology and the labour contract, killer germs and antibiotics. Once they strike, the past ceases to be a reliable predictor of the future and a brave new world is born."
Yanis Varoufakis,Left,"As Tony Benn, the British Labour politician, once suggested, we should constantly ask those who govern us five questions: What power have you got? Where did you get it from? In whose interests do you exercise it? To whom are you accountable? And how can we get rid of you?"
Yanis Varoufakis,Left,"... toxic derivatives were underpinned by toxic economics, which, in turn, were no more than motivated delusions in search of theoretical justification; fundamentalist tracts that acknowledged facts only when they could be accommodated to the demands of the lucrative faith. Despite their highly impressive labels and technical appearance, economic models were merely mathematized versions of the touching superstition that markets know best, both at times of tranquility and in periods of tumult."
Yanis Varoufakis,Left,"Leonard Schapiro, writing on Stalinism, warned us that the true object of propaganda is neither to convince nor even to persuade. But to produce a uniform pattern of public utterances in which the first trace of unorthodox thought reveals itself as a jarring dissonance."
Yanis Varoufakis,Left,"Beneath the specific events that I experienced, I recognised a universal story – the story of what happens when human beings find themselves at the mercy of cruel circumstances that have been generated by an inhuman, mostly unseen network of power relations. This is why there are no ‘goodies’ or ‘baddies’ in this book. Instead, it is populated by people doing their best, as they understand it, under conditions not of their choosing. Each of the persons I encountered and write about in these pages believed they were acting appropriately, but, taken together, their acts produced misfortune on a continental scale. Is this not the stuff of authentic tragedy? Is this not what makes the tragedies of Sophocles and Shakespeare resonate with us today, hundreds of years after the events they relate became old news?"
Yanis Varoufakis,Left,"To put it slightly differently, small sovereign nations, like Iceland, have choices to make within the broader constraints created for them by nature and by the rest of humanity. However limited these choices might be, Iceland’s body politic retains absolute authority to hold their elected officials accountable for the decisions they have reached within the nation’s exogenous constraints, and to strike down every piece of legislation that it has decided upon in the past. (...) In this sense, small, powerless Iceland continues to enjoy full sovereignty while the comparatively omnipotent European Union has been stripped of all forms of sovereignty."
Yanis Varoufakis,Left,"It is at this point in the book that the author famously laments that despite our ability to bring food from the earth, we are incapable of creating a system in which the hungry can be fed."
Yanis Varoufakis,Left,Corporatists like Robert Schuman and Jean Monnet were bent on constructing the Brussels-based bureaucracy as a democracy-free zone.
